User ID: 52930-30854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                              4
002                  NMA-58554                            169
003                  BMN-57337                            198
004                  CDC-36833                            141
005                  KMP-52243                            124
006                  HNB-76282                             42
007                  YMA-56284                            158
008                  KMP-52243                            187
009                  LZL-53762                             48
010                  ZPF-96697                            107
011                  RGZ-73449                            119
012                  KLA-57296                             53
013                  HVX-35287                             44
014                  LZL-53762                             87
015                  BCU-27839                            200
016                  PWT-38779                            109
017                  TXF-47848                              6
018                  JVL-65247                             52
019                  GZN-34688                            136
020                  XBC-95594                            182
021                  TXF-47848                             36
022                  NWL-28282                            129
023                  CQS-93978                             83
024                  WMD-65834                            125
025                  CQS-93978                            188
026                  TNG-52497                            111
027                  NMA-58554                             92
028                  BTG-65524                             90
029                  BMN-57337                            153
030                  GUJ-74444                            113
031                  BMN-57337                            180
032                  GZN-34688                             69
033                  HKZ-33728                            150
034                  RLT-57887                             30
035                  EPX-87469                            185
036                  BTN-83953                            164
037                  WBB-69295                            126
038                  NWL-28282                             91
039                  NWL-28282                            167
040                  AJA-56777                            121
041                  KMP-52243                            183
042                  URL-32968                            195
043                  SZA-87265                             51
044                  WQB-83823                             66
045                  PWT-38779                             24
046                  BTN-83953                             35
047                  CCG-95482                             77
048                  FTD-84699                             57
049                  DHY-22445                            151
050                  XKG-42573                             17
051                  FYK-67999                            196
052                  JYL-79355                            152
053                  ZPF-96697                            117
054                  RLT-57887                            174
055                  BTN-83953                              2
056                  AJA-56777                            160
057                  LZL-53762                            106
058                  NMA-58554                             34
059                  NMA-58554                            133
060                  ZXB-54692                            105
061                  YXL-38878                             62
062                  AJA-56777                            144
063                  TQC-49936                             33
064                  NWL-28282                            171
065                  TNX-51117                            116
066                  JYL-79355                             46
067                  WBB-69295                            127
068                  XKG-42573                             88
069                  YXL-38878                            132
070                  ANR-65636                            162
071                  DAU-26394                              3
072                  WQM-46249                             26
073                  XBC-95594                             97
074                  WBB-69295                             98
075                  HZF-45469                             80
076                  DAU-26394                             31
077                  AJA-56777                            115
078                  GMS-89977                            189
079                  AAV-93236                            142
080                  YMA-56284                             47
081                  ZHA-83572                             58
082                  BTN-83953                            163
083                  HKZ-33728                             74
084                  SZA-87265                             55
085                  LNC-68448                            140
086                  GBK-45859                             85
087                  BCU-27839                              9
088                  TNX-51117                            149
089                  FYK-67999                            110
090                  DAU-26394                            147
091                  GMS-89977                            186
092                  VXR-68924                             89
093                  PWT-38779                             21
094                  TNA-63396                             41
095                  NMA-58554                            154
096                  TXF-47848                            101
097                  TLT-23593                            123
098                  RLT-57887                             14
099                  GUJ-74444                            194
100                  DHY-22445                            176
