User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTN-83953                             91
002                  LZL-53762                             97
003                  KLA-57296                             29
004                  WQB-83823                             28
005                  TNX-51117                             52
006                  BTN-83953                             40
007                  TRM-27792                            134
008                  RLT-57887                            129
009                  ZPF-96697                             77
010                  JYL-79355                             60
011                  BMN-57337                            159
012                  LWR-78574                            175
013                  BCU-27839                            147
014                  FNL-93857                             99
015                  WBB-69295                             36
016                  CPU-63784                            121
017                  HNB-76282                            118
018                  TNX-51117                            156
019                  HVE-32966                             67
020                  NXD-76943                            140
021                  GBK-45859                            142
022                  YBD-67688                            115
023                  ZXB-54692                             50
024                  ZKV-31415                             47
025                  RGZ-73449                            191
026                  YLW-92835                            111
027                  KQA-89952                              3
028                  KLA-57296                             20
029                  LNC-68448                             84
030                  GZN-34688                             33
031                  QBZ-39849                             93
032                  YMA-56284                             70
033                  HVX-35287                             73
034                  YMA-56284                             26
035                  KLA-57296                            154
036                  ZHA-83572                             69
037                  BTN-83953                            105
038                  BTN-83953                             85
039                  TRM-27792                             46
040                  PZV-75529                             48
041                  QBZ-39849                             19
042                  SZA-87265                              2
043                  XKG-42573                             14
044                  VXR-68924                            104
045                  PWT-38779                             81
046                  VJN-37687                            150
047                  ZHA-83572                            144
048                  TNX-51117                            116
049                  TNX-51117                            194
050                  DHY-22445                            195
051                  NVE-67597                            170
052                  PQJ-67335                            183
053                  NVE-67597                             59
054                  JVL-65247                            157
055                  HVX-35287                            184
056                  QBD-79865                             45
057                  GUJ-74444                             24
058                  PWT-38779                             74
059                  EFG-46945                            127
060                  WQM-46249                            192
061                  JYL-79355                            155
062                  SZA-87265                            143
063                  JPJ-26459                            100
064                  PHE-99329                             89
065                  LNC-68448                             71
066                  ANR-65636                             58
067                  GUJ-74444                             68
068                  YMA-56284                             75
069                  BTN-83953                             94
070                  KDV-97563                            112
071                  CCG-95482                              9
072                  NHP-43928                            124
073                  HZF-45469                             49
074                  ANR-65636                             96
075                  ZKV-31415                              6
076                  HCY-32686                            182
077                  RLT-57887                            123
078                  XKG-42573                            146
079                  BTN-83953                            196
080                  KQA-89952                             80
081                  JYL-79355                            200
082                  KLA-57296                             54
083                  XRT-73276                             43
084                  CQS-93978                            102
085                  HKZ-33728                             98
086                  HCY-32686                            186
087                  NMA-58554                            117
088                  LZL-53762                            176
089                  CQS-93978                            139
090                  BTN-83953                            167
091                  VJN-37687                             56
092                  SPN-64546                            149
093                  KMP-52243                             37
094                  KLA-57296                            122
095                  FTD-84699                             11
096                  TQC-49936                            198
097                  VXR-68924                            161
098                  CPU-63784                              5
099                  FNR-28782                             38
100                  XBC-95594                            141
