User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JYL-79355                             49
002                  TRM-27792                             29
003                  VWM-74278                            134
004                  FNL-93857                             36
005                  WQB-83823                            178
006                  SPN-64546                            172
007                  JVL-65247                            112
008                  BCU-27839                            149
009                  HCY-32686                            153
010                  NMA-58554                             58
011                  GBK-45859                            104
012                  JPJ-26459                             94
013                  PQJ-67335                            180
014                  KMP-52243                            106
015                  ZPF-96697                            182
016                  QBZ-39849                             75
017                  WBB-69295                            120
018                  YLW-92835                             53
019                  VWM-74278                             50
020                  CPU-63784                             76
021                  CQS-93978                            145
022                  SPN-64546                             28
023                  AAV-93236                             15
024                  HKZ-33728                             95
025                  XJQ-35789                            137
026                  AJA-56777                             25
027                  XJQ-35789                             74
028                  WQB-83823                             43
029                  YLW-92835                             13
030                  NHP-43928                            118
031                  HCY-32686                            125
032                  WQM-46249                            113
033                  YBD-67688                            144
034                  YLW-92835                            161
035                  XBC-95594                            196
036                  EPX-87469                            139
037                  WQB-83823                            107
038                  NHP-43928                             38
039                  GUJ-74444                             73
040                  HVE-32966                             97
041                  HVE-32966                            147
042                  NWL-28282                            128
043                  TXF-47848                             12
044                  ZXB-54692                             96
045                  PWT-38779                            158
046                  TQC-49936                             59
047                  XBC-95594                            187
048                  QBD-79865                            151
049                  CCG-95482                              4
050                  FNR-28782                             19
051                  SPN-64546                             55
052                  LWR-78574                            174
053                  XKG-42573                            188
054                  BCU-27839                            176
055                  HCY-32686                            162
056                  XJQ-35789                            135
057                  LWR-78574                             85
058                  WBB-69295                            110
059                  NWL-28282                              7
060                  CDC-36833                            109
061                  KDV-97563                            154
062                  RGZ-73449                            140
063                  URL-32968                             54
064                  TQC-49936                            175
065                  XJQ-35789                            123
066                  GMS-89977                            117
067                  CDC-36833                             91
068                  PZV-75529                              9
069                  KMP-52243                            126
070                  FNR-28782                             27
071                  SZA-87265                            183
072                  KQA-89952                             88
073                  KDV-97563                             98
074                  QBZ-39849                              6
075                  ZPF-96697                             11
076                  GMS-89977                             67
077                  WQB-83823                            166
078                  GZN-34688                             51
079                  URL-32968                             22
080                  SPN-64546                            189
081                  LNC-68448                            105
082                  WQM-46249                             69
083                  VJN-37687                             63
084                  TQC-49936                            167
085                  TNA-63396                             39
086                  FNR-28782                            169
087                  RLT-57887                            102
088                  GUJ-74444                             89
089                  NWL-28282                            116
090                  LWR-78574                              3
091                  NXD-76943                            136
092                  FNL-93857                             72
093                  PZV-75529                             99
094                  NVE-67597                            164
095                  BTG-65524                             65
096                  TLT-23593                            129
097                  HVX-35287                             45
098                  YMA-56284                             56
099                  NVE-67597                            114
100                  ANR-65636                            200
