User ID: 83545-99452

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KWH-94256                             79
002                  TNG-52497                             80
003                  PWT-38779                             50
004                  FNR-28782                            118
005                  YBD-67688                            192
006                  DHY-22445                             13
007                  XRT-73276                            136
008                  DAU-26394                            199
009                  PQJ-67335                             89
010                  HVE-32966                            127
011                  GBK-45859                             51
012                  NMA-58554                            166
013                  TQC-49936                             81
014                  TNA-63396                            168
015                  ANR-65636                            171
016                  PNF-53949                             19
017                  NHP-43928                            126
018                  PQJ-67335                            105
019                  WMD-65834                             46
020                  EFG-46945                            104
021                  GZN-34688                            122
022                  GZN-34688                             72
023                  TXF-47848                             82
024                  NXD-76943                            144
025                  TNG-52497                            161
026                  HVE-32966                             99
027                  CCG-95482                             62
028                  CCG-95482                            134
029                  NXD-76943                             58
030                  YMA-56284                            170
031                  HNB-76282                            119
032                  EFG-46945                              1
033                  KDV-97563                              8
034                  WQM-46249                             52
035                  XJQ-35789                            153
036                  FYK-67999                             68
037                  XBC-95594                             75
038                  AJA-56777                             86
039                  PNF-53949                             64
040                  NMA-58554                             85
041                  XKG-42573                            128
042                  JPJ-26459                             21
043                  DHY-22445                             28
044                  PNF-53949                            176
045                  TNG-52497                            106
046                  LWR-78574                             87
047                  WBB-69295                             20
048                  NWL-28282                             70
049                  TRM-27792                            124
050                  TLT-23593                             35
051                  JVL-65247                             95
052                  EFG-46945                             94
053                  XJQ-35789                            169
054                  VXR-68924                             77
055                  TNG-52497                             39
056                  AAV-93236                            132
057                  YXL-38878                             14
058                  ANR-65636                             65
059                  BTG-65524                             56
060                  FNL-93857                             55
061                  WMD-65834                             90
062                  BCU-27839                             38
063                  NVE-67597                             98
064                  LZL-53762                            174
065                  NVE-67597                            109
066                  XKG-42573                            164
067                  BTN-83953                            125
068                  FNL-93857                            149
069                  URL-32968                            196
070                  WQB-83823                             60
071                  PZV-75529                             47
072                  QBD-79865                             69
073                  GUJ-74444                              6
074                  URL-32968                            167
075                  RGZ-73449                             42
076                  KQA-89952                             78
077                  NHP-43928                             74
078                  KWH-94256                            151
079                  ZXB-54692                             12
080                  XRT-73276                             96
081                  PQJ-67335                            129
082                  GBK-45859                            115
083                  DHY-22445                             11
084                  GMS-89977                             53
085                  YBD-67688                             93
086                  NWL-28282                            193
087                  XBC-95594                             15
088                  GMS-89977                             92
089                  CPU-63784                            154
090                  YLW-92835                            180
091                  JVL-65247                            150
092                  RGZ-73449                            190
093                  YXL-38878                            163
094                  NWL-28282                             36
095                  FNR-28782                             23
096                  QBZ-39849                            148
097                  AAV-93236                              4
098                  FYK-67999                            135
099                  XJQ-35789                            175
100                  KWH-94256                             44
