User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PQJ-67335                             99
002                  PNF-53949                            148
003                  PZV-75529                              5
004                  WBB-69295                             80
005                  HZF-45469                             66
006                  NXD-76943                             95
007                  FYK-67999                             36
008                  NMA-58554                             15
009                  SZA-87265                            127
010                  WQM-46249                             97
011                  QBD-79865                            199
012                  PNF-53949                            192
013                  WQM-46249                            183
014                  HZF-45469                             72
015                  DAU-26394                             98
016                  ZPF-96697                             65
017                  TNG-52497                            147
018                  EPX-87469                             11
019                  TQC-49936                            116
020                  VJN-37687                             82
021                  SZA-87265                            145
022                  VWM-74278                            170
023                  TNX-51117                            176
024                  NWL-28282                            119
025                  PQJ-67335                             85
026                  CDC-36833                            184
027                  TQC-49936                            118
028                  KLA-57296                            179
029                  ZHA-83572                            144
030                  LNC-68448                             31
031                  TLT-23593                            106
032                  WBB-69295                            180
033                  RGZ-73449                             53
034                  CPU-63784                            160
035                  BTN-83953                            154
036                  LWR-78574                            151
037                  JVL-65247                            128
038                  CQS-93978                            168
039                  PNF-53949                            104
040                  LWR-78574                            131
041                  TNG-52497                             60
042                  NHP-43928                             13
043                  TXF-47848                             35
044                  GUJ-74444                            182
045                  HVE-32966                             18
046                  DHY-22445                            110
047                  CDC-36833                            190
048                  JYL-79355                            103
049                  TNA-63396                            158
050                  TQC-49936                            173
051                  NWL-28282                            195
052                  JPJ-26459                            161
053                  DHY-22445                             45
054                  CDC-36833                             81
055                  HZF-45469                            156
056                  HCY-32686                             29
057                  FNR-28782                            130
058                  FNL-93857                             23
059                  PNF-53949                            142
060                  DAU-26394                             10
061                  PZV-75529                            189
062                  HNB-76282                            169
063                  WQM-46249                             49
064                  JPJ-26459                            153
065                  AJA-56777                            196
066                  KLA-57296                              1
067                  YMA-56284                             73
068                  HVE-32966                            112
069                  URL-32968                             68
070                  NWL-28282                             50
071                  FTD-84699                             12
072                  FNL-93857                             91
073                  KWH-94256                            188
074                  YMA-56284                            115
075                  NVE-67597                             58
076                  TNA-63396                             84
077                  QBD-79865                             46
078                  RLT-57887                            166
079                  TQC-49936                            162
080                  HCY-32686                            137
081                  CPU-63784                            186
082                  XKG-42573                            163
083                  JVL-65247                             37
084                  DAU-26394                              9
085                  DAU-26394                            172
086                  NXD-76943                            108
087                  TXF-47848                            120
088                  TNX-51117                            165
089                  YMA-56284                            159
090                  FYK-67999                             33
091                  TNX-51117                             92
092                  PZV-75529                             64
093                  GUJ-74444                             21
094                  ZHA-83572                             28
095                  TLT-23593                             14
096                  HKZ-33728                             44
097                  PHE-99329                             52
098                  QBD-79865                            198
099                  BTG-65524                             79
100                  KWH-94256                             25
