User ID: 84209-46116

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                            135
002                  XBC-95594                             67
003                  VXR-68924                             44
004                  GZN-34688                             37
005                  KDV-97563                            100
006                  VJN-37687                             94
007                  NXD-76943                            141
008                  KDV-97563                            191
009                  GZN-34688                             47
010                  HZF-45469                             82
011                  XRT-73276                            158
012                  QBD-79865                             70
013                  NHP-43928                            114
014                  HVE-32966                            180
015                  BCU-27839                            154
016                  WBB-69295                              9
017                  CQS-93978                            161
018                  YXL-38878                             66
019                  HVE-32966                            107
020                  RGZ-73449                             48
021                  VWM-74278                             16
022                  PHE-99329                             38
023                  WBB-69295                            149
024                  KMP-52243                              6
025                  JYL-79355                            126
026                  FTD-84699                             81
027                  PNF-53949                            108
028                  ZXB-54692                             43
029                  TNG-52497                            147
030                  NWL-28282                            120
031                  ZPF-96697                             57
032                  GBK-45859                             73
033                  KWH-94256                             78
034                  URL-32968                            184
035                  LNC-68448                            163
036                  KLA-57296                            162
037                  GBK-45859                             99
038                  LWR-78574                            181
039                  QBZ-39849                             51
040                  KQA-89952                            179
041                  NMA-58554                             36
042                  TNG-52497                            183
043                  LNC-68448                            194
044                  HKZ-33728                            185
045                  FYK-67999                             75
046                  DHY-22445                             84
047                  QBD-79865                            145
048                  GUJ-74444                             92
049                  XJQ-35789                             95
050                  QBZ-39849                             14
051                  JYL-79355                             65
052                  KDV-97563                            118
053                  HKZ-33728                            144
054                  YLW-92835                            130
055                  CCG-95482                            103
056                  SZA-87265                            186
057                  GUJ-74444                            111
058                  HZF-45469                            106
059                  EPX-87469                            102
060                  TLT-23593                            169
061                  QBD-79865                            123
062                  NXD-76943                            132
063                  KDV-97563                            155
064                  CPU-63784                             45
065                  NVE-67597                             25
066                  NHP-43928                             56
067                  PQJ-67335                            110
068                  RGZ-73449                            197
069                  JPJ-26459                            173
070                  HCY-32686                             54
071                  AAV-93236                            165
072                  RGZ-73449                             30
073                  RLT-57887                             40
074                  FNR-28782                              2
075                  PWT-38779                            152
076                  DHY-22445                             21
077                  GMS-89977                            195
078                  XKG-42573                             19
079                  FYK-67999                            124
080                  ZPF-96697                            139
081                  TXF-47848                             68
082                  AJA-56777                            116
083                  HVX-35287                             29
084                  HCY-32686                             10
085                  SZA-87265                             15
086                  TNG-52497                            193
087                  KQA-89952                            112
088                  BMN-57337                             58
089                  GMS-89977                             27
090                  KLA-57296                            109
091                  NWL-28282                            177
092                  DAU-26394                             87
093                  NWL-28282                             97
094                  XJQ-35789                            134
095                  HKZ-33728                             89
096                  BTG-65524                            101
097                  XBC-95594                            137
098                  FTD-84699                             33
099                  HVE-32966                             23
100                  PZV-75529                            129
