User ID: 44921-58069

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NXD-76943                            158
002                  AAV-93236                            105
003                  KDV-97563                             44
004                  ZXB-54692                             58
005                  DAU-26394                            106
006                  GBK-45859                            195
007                  ZPF-96697                             97
008                  LWR-78574                             77
009                  WQM-46249                            126
010                  GUJ-74444                            116
011                  CCG-95482                              1
012                  KMP-52243                             27
013                  ZPF-96697                             92
014                  ZXB-54692                             72
015                  GBK-45859                            192
016                  FYK-67999                            118
017                  CPU-63784                             38
018                  PHE-99329                            128
019                  KQA-89952                            165
020                  VJN-37687                             50
021                  TNG-52497                            109
022                  XRT-73276                             35
023                  YLW-92835                             16
024                  HVX-35287                             89
025                  GBK-45859                             79
026                  SZA-87265                             60
027                  HVX-35287                             10
028                  PNF-53949                            177
029                  ZKV-31415                             29
030                  FNL-93857                            129
031                  CDC-36833                             12
032                  ZPF-96697                            132
033                  AAV-93236                             45
034                  NMA-58554                             70
035                  HVE-32966                            180
036                  YXL-38878                            190
037                  HZF-45469                            100
038                  WQM-46249                             32
039                  TNX-51117                            197
040                  CDC-36833                             81
041                  EFG-46945                             21
042                  YBD-67688                            142
043                  XBC-95594                            124
044                  QBD-79865                             55
045                  RLT-57887                            163
046                  CQS-93978                             51
047                  VXR-68924                             13
048                  HVX-35287                             40
049                  HNB-76282                            135
050                  ZXB-54692                            154
051                  WQM-46249                            161
052                  RLT-57887                            113
053                  VJN-37687                            199
054                  XRT-73276                            112
055                  HCY-32686                             22
056                  DHY-22445                            104
057                  TRM-27792                            174
058                  GUJ-74444                            156
059                  YLW-92835                             88
060                  QBD-79865                            138
061                  YLW-92835                            168
062                  XJQ-35789                            178
063                  YMA-56284                             94
064                  JPJ-26459                             25
065                  EFG-46945                            122
066                  URL-32968                             73
067                  CCG-95482                              7
068                  HZF-45469                             57
069                  QBZ-39849                            101
070                  JVL-65247                             19
071                  XKG-42573                            144
072                  HVX-35287                            171
073                  TNA-63396                            183
074                  ZXB-54692                              3
075                  NWL-28282                            169
076                  XKG-42573                            125
077                  CDC-36833                            179
078                  QBZ-39849                            181
079                  HNB-76282                             33
080                  TLT-23593                            153
081                  FYK-67999                             93
082                  HVX-35287                             98
083                  AJA-56777                             67
084                  KLA-57296                             64
085                  XKG-42573                            184
086                  FNR-28782                            107
087                  PNF-53949                            131
088                  FNR-28782                             28
089                  CCG-95482                            136
090                  JPJ-26459                            120
091                  KDV-97563                             71
092                  KLA-57296                             48
093                  BTG-65524                             83
094                  SPN-64546                             18
095                  HKZ-33728                            145
096                  NXD-76943                            155
097                  KMP-52243                            166
098                  JPJ-26459                             41
099                  LNC-68448                              5
100                  AJA-56777                             59
