User ID: 65101-47245

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BCU-27839                             56
002                  KQA-89952                             96
003                  GBK-45859                             77
004                  AJA-56777                            187
005                  NMA-58554                            149
006                  TNA-63396                            124
007                  TLT-23593                            195
008                  YBD-67688                            128
009                  RLT-57887                            113
010                  PNF-53949                             30
011                  YBD-67688                            119
012                  BTG-65524                            123
013                  WMD-65834                            159
014                  LZL-53762                             66
015                  WBB-69295                             71
016                  YMA-56284                            199
017                  CPU-63784                             13
018                  BTG-65524                             80
019                  QBZ-39849                             16
020                  QBZ-39849                            188
021                  AJA-56777                            161
022                  KWH-94256                            158
023                  PHE-99329                             22
024                  JPJ-26459                            200
025                  RLT-57887                            108
026                  XBC-95594                             64
027                  YXL-38878                             29
028                  QBZ-39849                            184
029                  LZL-53762                            150
030                  SZA-87265                            135
031                  LNC-68448                             49
032                  YBD-67688                             72
033                  TNX-51117                            127
034                  HCY-32686                            126
035                  BTN-83953                            179
036                  YLW-92835                             65
037                  WBB-69295                            147
038                  KLA-57296                            105
039                  AJA-56777                            190
040                  URL-32968                             61
041                  XRT-73276                             40
042                  QBZ-39849                            145
043                  NHP-43928                             38
044                  WMD-65834                            160
045                  FNL-93857                             15
046                  ZHA-83572                             75
047                  BMN-57337                             52
048                  PQJ-67335                             69
049                  TNA-63396                            120
050                  XKG-42573                            163
051                  HVE-32966                            109
052                  SZA-87265                             86
053                  HNB-76282                             33
054                  GUJ-74444                            197
055                  LNC-68448                            100
056                  AJA-56777                            181
057                  NXD-76943                            118
058                  HKZ-33728                             47
059                  XRT-73276                             32
060                  ZPF-96697                            171
061                  YXL-38878                             58
062                  FTD-84699                            198
063                  HZF-45469                             99
064                  HNB-76282                             94
065                  PNF-53949                            110
066                  TRM-27792                            175
067                  URL-32968                            162
068                  GZN-34688                              9
069                  ANR-65636                             51
070                  TXF-47848                            139
071                  BTG-65524                            115
072                  NHP-43928                            129
073                  EFG-46945                             28
074                  KWH-94256                            138
075                  WQM-46249                             14
076                  KQA-89952                             55
077                  ZPF-96697                             98
078                  HCY-32686                             73
079                  NVE-67597                             12
080                  HKZ-33728                            185
081                  CCG-95482                              2
082                  GMS-89977                            140
083                  RGZ-73449                             95
084                  TXF-47848                            112
085                  JVL-65247                             79
086                  BCU-27839                            130
087                  XKG-42573                            157
088                  ZXB-54692                              1
089                  CDC-36833                             97
090                  CQS-93978                             37
091                  NHP-43928                            176
092                  EFG-46945                            172
093                  LZL-53762                             41
094                  GZN-34688                            102
095                  CCG-95482                             54
096                  KQA-89952                             82
097                  NMA-58554                             50
098                  TNG-52497                            142
099                  PZV-75529                             78
100                  KWH-94256                             93
