User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LNC-68448                            155
002                  EPX-87469                             78
003                  XRT-73276                             51
004                  AJA-56777                            116
005                  SPN-64546                             66
006                  RGZ-73449                            186
007                  WQM-46249                             44
008                  FYK-67999                            101
009                  QBD-79865                            192
010                  GZN-34688                             14
011                  GUJ-74444                             97
012                  HNB-76282                            193
013                  AAV-93236                            165
014                  HCY-32686                            134
015                  EPX-87469                             18
016                  AJA-56777                              8
017                  FNL-93857                             99
018                  SPN-64546                             38
019                  BTN-83953                              4
020                  TNA-63396                            117
021                  DHY-22445                            163
022                  BTG-65524                            131
023                  NMA-58554                             28
024                  TNX-51117                            142
025                  VXR-68924                            141
026                  HCY-32686                             63
027                  PNF-53949                            154
028                  KWH-94256                            113
029                  RGZ-73449                             48
030                  GZN-34688                            164
031                  PHE-99329                            121
032                  ZPF-96697                            137
033                  ZXB-54692                             47
034                  HNB-76282                             33
035                  KLA-57296                             60
036                  LNC-68448                             41
037                  ZXB-54692                             58
038                  KLA-57296                             68
039                  BTN-83953                             69
040                  VWM-74278                             81
041                  EFG-46945                             84
042                  FTD-84699                              5
043                  NMA-58554                            176
044                  HKZ-33728                            182
045                  NVE-67597                             13
046                  TNA-63396                             36
047                  BMN-57337                             37
048                  YXL-38878                            129
049                  NHP-43928                            196
050                  DAU-26394                             80
051                  HKZ-33728                             53
052                  EFG-46945                            132
053                  KDV-97563                              7
054                  CCG-95482                             77
055                  PHE-99329                            150
056                  CDC-36833                             87
057                  PHE-99329                             62
058                  TLT-23593                            124
059                  AAV-93236                            161
060                  BTN-83953                             73
061                  GUJ-74444                            122
062                  KLA-57296                            118
063                  CDC-36833                            175
064                  YLW-92835                             25
065                  EFG-46945                             55
066                  XBC-95594                             94
067                  ANR-65636                            112
068                  XBC-95594                            148
069                  TNG-52497                             15
070                  HVE-32966                            194
071                  FYK-67999                            126
072                  JVL-65247                            185
073                  PQJ-67335                             43
074                  BCU-27839                            157
075                  KWH-94256                            111
076                  GMS-89977                            177
077                  KDV-97563                             29
078                  NWL-28282                             52
079                  GZN-34688                            146
080                  PZV-75529                            181
081                  WQM-46249                            190
082                  KQA-89952                            156
083                  PQJ-67335                            188
084                  NXD-76943                             24
085                  ZXB-54692                             93
086                  QBD-79865                            123
087                  PNF-53949                            108
088                  ZHA-83572                            160
089                  NWL-28282                            180
090                  TRM-27792                            127
091                  WMD-65834                             17
092                  FNR-28782                            110
093                  LZL-53762                             91
094                  WMD-65834                            144
095                  TNG-52497                             32
096                  WQB-83823                            191
097                  DHY-22445                             45
098                  ZKV-31415                             86
099                  XKG-42573                             64
100                  GMS-89977                            103
