User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VXR-68924                             60
002                  KQA-89952                             88
003                  EPX-87469                            120
004                  AJA-56777                             23
005                  NWL-28282                             97
006                  KWH-94256                             58
007                  HNB-76282                             93
008                  HKZ-33728                             45
009                  TLT-23593                            161
010                  NVE-67597                            116
011                  BMN-57337                             70
012                  GMS-89977                             35
013                  PQJ-67335                            183
014                  GZN-34688                             68
015                  YLW-92835                             43
016                  QBD-79865                            134
017                  YMA-56284                            131
018                  ANR-65636                            160
019                  AJA-56777                             85
020                  YXL-38878                            158
021                  DHY-22445                            164
022                  XJQ-35789                             18
023                  SPN-64546                            149
024                  RLT-57887                            140
025                  HNB-76282                            190
026                  VJN-37687                            145
027                  NXD-76943                             39
028                  JYL-79355                             65
029                  GBK-45859                             76
030                  TNG-52497                            172
031                  NVE-67597                             36
032                  AJA-56777                              4
033                  KWH-94256                            111
034                  HVX-35287                             40
035                  HVE-32966                            104
036                  LNC-68448                            184
037                  TNA-63396                             42
038                  PNF-53949                            152
039                  YMA-56284                             32
040                  JVL-65247                             73
041                  WBB-69295                             47
042                  NHP-43928                             22
043                  LNC-68448                             50
044                  TRM-27792                             79
045                  BMN-57337                            191
046                  TRM-27792                             84
047                  NVE-67597                            102
048                  SPN-64546                             51
049                  QBZ-39849                             10
050                  NMA-58554                            197
051                  NVE-67597                            112
052                  PQJ-67335                            156
053                  LNC-68448                            117
054                  QBZ-39849                            177
055                  FYK-67999                             21
056                  BTN-83953                             44
057                  GZN-34688                            100
058                  FTD-84699                             31
059                  WQB-83823                             77
060                  TRM-27792                             28
061                  PNF-53949                             16
062                  FNL-93857                            142
063                  GMS-89977                            109
064                  ZXB-54692                            187
065                  NHP-43928                            118
066                  LWR-78574                            141
067                  WQM-46249                            185
068                  WQB-83823                             19
069                  BCU-27839                            171
070                  YLW-92835                             59
071                  XBC-95594                            157
072                  TNX-51117                             87
073                  WQB-83823                            144
074                  TNA-63396                             55
075                  QBZ-39849                             27
076                  GZN-34688                            121
077                  KMP-52243                            127
078                  SPN-64546                            139
079                  VWM-74278                            193
080                  AJA-56777                            123
081                  XKG-42573                            159
082                  BMN-57337                              3
083                  RGZ-73449                            192
084                  PZV-75529                              9
085                  JPJ-26459                             96
086                  NWL-28282                             98
087                  DHY-22445                            126
088                  NWL-28282                             25
089                  XKG-42573                             26
090                  NMA-58554                            151
091                  QBZ-39849                              2
092                  VJN-37687                             20
093                  AAV-93236                             24
094                  URL-32968                              7
095                  TLT-23593                            137
096                  HNB-76282                             38
097                  WBB-69295                             53
098                  NXD-76943                            154
099                  FNL-93857                            133
100                  EFG-46945                              5
