User ID: 02583-95216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                             13
002                  XKG-42573                             26
003                  JYL-79355                             83
004                  YXL-38878                             79
005                  TNX-51117                            123
006                  TNA-63396                            195
007                  WQM-46249                             89
008                  PZV-75529                            175
009                  PZV-75529                             55
010                  VJN-37687                             90
011                  TNG-52497                            114
012                  PZV-75529                            194
013                  CQS-93978                            196
014                  HKZ-33728                            185
015                  RGZ-73449                             73
016                  XKG-42573                              8
017                  GUJ-74444                            173
018                  BMN-57337                             98
019                  FYK-67999                             41
020                  FTD-84699                             88
021                  AAV-93236                             10
022                  URL-32968                             35
023                  WQM-46249                            100
024                  HNB-76282                             92
025                  CPU-63784                            134
026                  BCU-27839                            162
027                  TXF-47848                             30
028                  XRT-73276                             18
029                  TRM-27792                            172
030                  AJA-56777                             43
031                  AJA-56777                             27
032                  JYL-79355                            193
033                  LZL-53762                            164
034                  TNG-52497                            107
035                  ZHA-83572                             86
036                  BCU-27839                            138
037                  FNL-93857                            143
038                  NWL-28282                             84
039                  PHE-99329                             24
040                  FNL-93857                              4
041                  JYL-79355                            200
042                  HCY-32686                            124
043                  BTG-65524                             96
044                  JPJ-26459                             67
045                  DHY-22445                            170
046                  PWT-38779                            101
047                  AAV-93236                             59
048                  VXR-68924                            113
049                  TNA-63396                            117
050                  QBZ-39849                             64
051                  VJN-37687                            181
052                  XBC-95594                             80
053                  LZL-53762                            199
054                  SPN-64546                            153
055                  HVX-35287                             15
056                  QBZ-39849                            152
057                  QBD-79865                             29
058                  XJQ-35789                             37
059                  WMD-65834                            159
060                  HNB-76282                            108
061                  EPX-87469                             46
062                  QBD-79865                            109
063                  ANR-65636                             78
064                  CDC-36833                             42
065                  NWL-28282                              6
066                  FNL-93857                            182
067                  XRT-73276                            105
068                  VJN-37687                            125
069                  GBK-45859                             58
070                  CDC-36833                             68
071                  DAU-26394                            136
072                  TRM-27792                            178
073                  TNX-51117                            128
074                  SPN-64546                            110
075                  GBK-45859                            127
076                  GMS-89977                            131
077                  YXL-38878                             69
078                  VWM-74278                            142
079                  ANR-65636                            183
080                  CDC-36833                            189
081                  WMD-65834                             38
082                  SPN-64546                              3
083                  NMA-58554                              2
084                  KDV-97563                            129
085                  LWR-78574                             62
086                  DAU-26394                            141
087                  AAV-93236                             20
088                  HVE-32966                             94
089                  BTG-65524                            103
090                  TNX-51117                             95
091                  CDC-36833                             63
092                  VXR-68924                            133
093                  RGZ-73449                            190
094                  SZA-87265                             53
095                  TNX-51117                             97
096                  EPX-87469                            158
097                  NXD-76943                            122
098                  RGZ-73449                            130
099                  JVL-65247                             22
100                  XRT-73276                            144
