User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                             38
002                  XKG-42573                             81
003                  HNB-76282                            190
004                  HNB-76282                            116
005                  TXF-47848                            181
006                  DHY-22445                             98
007                  HZF-45469                              4
008                  CQS-93978                             41
009                  DAU-26394                            195
010                  WQB-83823                             99
011                  ZXB-54692                            187
012                  KMP-52243                            144
013                  NWL-28282                            180
014                  CQS-93978                             28
015                  GBK-45859                            162
016                  HCY-32686                             70
017                  KQA-89952                            102
018                  PQJ-67335                            185
019                  CPU-63784                            193
020                  KQA-89952                            192
021                  HNB-76282                            177
022                  BTG-65524                             73
023                  TXF-47848                             94
024                  NMA-58554                             90
025                  HZF-45469                            140
026                  GMS-89977                            149
027                  XRT-73276                            117
028                  YBD-67688                            155
029                  HNB-76282                             23
030                  TNA-63396                            167
031                  JYL-79355                            125
032                  SPN-64546                             29
033                  LZL-53762                              3
034                  NMA-58554                             84
035                  TRM-27792                             76
036                  FTD-84699                            168
037                  BTN-83953                            100
038                  SZA-87265                             45
039                  TRM-27792                            159
040                  ZXB-54692                            188
041                  XRT-73276                             13
042                  YXL-38878                            142
043                  NHP-43928                             35
044                  HKZ-33728                            199
045                  TNX-51117                            150
046                  TRM-27792                            120
047                  JVL-65247                            171
048                  BTN-83953                            107
049                  PHE-99329                             95
050                  HKZ-33728                            114
051                  NVE-67597                            124
052                  QBD-79865                             59
053                  VJN-37687                             36
054                  VWM-74278                            106
055                  YLW-92835                            113
056                  ANR-65636                            145
057                  PQJ-67335                             51
058                  TLT-23593                            135
059                  QBD-79865                            200
060                  GUJ-74444                             86
061                  TNG-52497                            133
062                  HVE-32966                             91
063                  KMP-52243                            128
064                  YXL-38878                             88
065                  PWT-38779                            182
066                  PZV-75529                             62
067                  XJQ-35789                            136
068                  PQJ-67335                            172
069                  VJN-37687                             61
070                  ZPF-96697                            111
071                  LNC-68448                             39
072                  XBC-95594                            121
073                  LWR-78574                            151
074                  BMN-57337                             25
075                  NVE-67597                             10
076                  HVE-32966                             69
077                  URL-32968                            132
078                  PZV-75529                             60
079                  CDC-36833                             50
080                  FNR-28782                             75
081                  LWR-78574                            103
082                  NMA-58554                              7
083                  TQC-49936                            126
084                  EFG-46945                            108
085                  ANR-65636                            164
086                  ZXB-54692                            186
087                  PWT-38779                            157
088                  YBD-67688                            170
089                  BTG-65524                             20
090                  BMN-57337                            191
091                  PWT-38779                             17
092                  TXF-47848                             37
093                  NWL-28282                            110
094                  TQC-49936                            174
095                  WQM-46249                             57
096                  LZL-53762                             72
097                  YLW-92835                            146
098                  AAV-93236                             32
099                  RLT-57887                            158
100                  DAU-26394                             12
