User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HZF-45469                            174
002                  GUJ-74444                            159
003                  FYK-67999                             30
004                  YMA-56284                             80
005                  ZPF-96697                             58
006                  CCG-95482                            147
007                  WBB-69295                            150
008                  RLT-57887                            173
009                  XBC-95594                             43
010                  CDC-36833                            123
011                  ZKV-31415                            189
012                  KLA-57296                            109
013                  VWM-74278                             82
014                  KMP-52243                            153
015                  HVX-35287                             14
016                  HVX-35287                            101
017                  VWM-74278                            165
018                  YXL-38878                             20
019                  URL-32968                            181
020                  QBD-79865                             35
021                  TRM-27792                            142
022                  LWR-78574                             62
023                  NHP-43928                            199
024                  TQC-49936                            162
025                  LWR-78574                            115
026                  HZF-45469                             72
027                  EFG-46945                             74
028                  GMS-89977                             67
029                  URL-32968                            141
030                  KWH-94256                             25
031                  SPN-64546                            145
032                  KQA-89952                             33
033                  QBZ-39849                             94
034                  CDC-36833                            100
035                  AJA-56777                            149
036                  TRM-27792                              7
037                  EFG-46945                            194
038                  HVX-35287                            134
039                  LNC-68448                            117
040                  PQJ-67335                             36
041                  JYL-79355                             92
042                  JPJ-26459                            198
043                  HCY-32686                             13
044                  PWT-38779                             53
045                  HNB-76282                            169
046                  YXL-38878                             78
047                  KMP-52243                            130
048                  SZA-87265                              9
049                  ZPF-96697                             26
050                  VJN-37687                             44
051                  JYL-79355                            116
052                  CQS-93978                            107
053                  CQS-93978                            135
054                  AAV-93236                            197
055                  BTN-83953                            131
056                  LWR-78574                            127
057                  VXR-68924                            179
058                  EFG-46945                            157
059                  VXR-68924                             86
060                  KMP-52243                              4
061                  FYK-67999                             17
062                  HVX-35287                             10
063                  SPN-64546                             50
064                  TQC-49936                             99
065                  BTN-83953                             96
066                  CQS-93978                             65
067                  FNL-93857                            182
068                  GMS-89977                            138
069                  BMN-57337                             90
070                  KDV-97563                            196
071                  GMS-89977                            133
072                  FNR-28782                            183
073                  XKG-42573                            124
074                  JPJ-26459                            139
075                  RLT-57887                             11
076                  FNL-93857                            151
077                  TRM-27792                            129
078                  HKZ-33728                             34
079                  RLT-57887                            186
080                  GUJ-74444                              6
081                  KMP-52243                             22
082                  NMA-58554                            132
083                  ZKV-31415                             29
084                  YLW-92835                             75
085                  KMP-52243                             79
086                  AJA-56777                             49
087                  JVL-65247                             51
088                  FNR-28782                             32
089                  XJQ-35789                             71
090                  DAU-26394                             66
091                  HZF-45469                            136
092                  NMA-58554                             97
093                  XJQ-35789                            175
094                  KLA-57296                            195
095                  CCG-95482                            102
096                  JYL-79355                            172
097                  CDC-36833                             18
098                  XJQ-35789                            148
099                  QBD-79865                              8
100                  WQM-46249                            114
