User ID: 00885-84102

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                             66
002                  NMA-58554                             70
003                  EPX-87469                             69
004                  GMS-89977                             40
005                  TXF-47848                            103
006                  GBK-45859                             86
007                  KLA-57296                             34
008                  FNR-28782                             18
009                  RLT-57887                             56
010                  BCU-27839                              8
011                  HVX-35287                             50
012                  CPU-63784                            200
013                  TRM-27792                              3
014                  ZHA-83572                             83
015                  XKG-42573                             55
016                  NWL-28282                            176
017                  URL-32968                            138
018                  TXF-47848                             16
019                  KDV-97563                            167
020                  TNG-52497                            198
021                  KMP-52243                            107
022                  HVX-35287                            178
023                  BCU-27839                              9
024                  KMP-52243                            182
025                  AAV-93236                            113
026                  TXF-47848                            157
027                  CCG-95482                            187
028                  JVL-65247                             14
029                  TNG-52497                              6
030                  GZN-34688                             63
031                  URL-32968                            162
032                  XBC-95594                            196
033                  SZA-87265                             78
034                  EPX-87469                            168
035                  DHY-22445                            132
036                  TNA-63396                             84
037                  EPX-87469                             28
038                  BTN-83953                            106
039                  HZF-45469                             12
040                  GZN-34688                            174
041                  ANR-65636                            159
042                  KLA-57296                            101
043                  ANR-65636                             60
044                  PNF-53949                              5
045                  TNG-52497                            120
046                  WQM-46249                            140
047                  KQA-89952                            179
048                  XJQ-35789                             17
049                  PHE-99329                             89
050                  HVX-35287                            153
051                  XBC-95594                             46
052                  CPU-63784                            129
053                  KDV-97563                             79
054                  LNC-68448                            128
055                  NWL-28282                            148
056                  PZV-75529                            104
057                  HVE-32966                            172
058                  YXL-38878                             27
059                  DHY-22445                             95
060                  CCG-95482                             22
061                  EFG-46945                              1
062                  AAV-93236                             76
063                  YLW-92835                            121
064                  KLA-57296                            130
065                  URL-32968                            118
066                  CDC-36833                            169
067                  TNG-52497                             10
068                  TNX-51117                            127
069                  TRM-27792                            115
070                  TQC-49936                            154
071                  YBD-67688                            114
072                  KQA-89952                            142
073                  XKG-42573                            136
074                  ZKV-31415                            108
075                  PHE-99329                            183
076                  KMP-52243                            143
077                  URL-32968                             45
078                  FNR-28782                            133
079                  CQS-93978                            163
080                  LNC-68448                            145
081                  TQC-49936                            122
082                  ZXB-54692                            155
083                  PHE-99329                            195
084                  HZF-45469                            184
085                  AAV-93236                            180
086                  QBZ-39849                            199
087                  HKZ-33728                             82
088                  GUJ-74444                             51
089                  CQS-93978                            177
090                  EPX-87469                             98
091                  HCY-32686                             64
092                  GMS-89977                            131
093                  TRM-27792                              4
094                  PWT-38779                            160
095                  RLT-57887                            111
096                  JPJ-26459                            170
097                  TQC-49936                            109
098                  AAV-93236                            150
099                  HKZ-33728                             88
100                  HNB-76282                             73
