User ID: 90411-88509

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GBK-45859                             27
002                  FTD-84699                             39
003                  SZA-87265                              3
004                  TNA-63396                             16
005                  HVE-32966                            160
006                  NVE-67597                            107
007                  CDC-36833                             14
008                  TQC-49936                            120
009                  QBZ-39849                            116
010                  WQM-46249                             58
011                  SZA-87265                            115
012                  PWT-38779                            168
013                  XJQ-35789                             98
014                  NWL-28282                            154
015                  NVE-67597                            105
016                  HZF-45469                             63
017                  GUJ-74444                            151
018                  PZV-75529                            184
019                  TLT-23593                             68
020                  HCY-32686                             70
021                  HCY-32686                            110
022                  FYK-67999                            198
023                  NWL-28282                             30
024                  TNX-51117                             51
025                  PHE-99329                            169
026                  HZF-45469                             19
027                  JVL-65247                            129
028                  AAV-93236                            138
029                  YBD-67688                             74
030                  FYK-67999                            155
031                  TLT-23593                             92
032                  RGZ-73449                             57
033                  NMA-58554                              7
034                  JYL-79355                            158
035                  DAU-26394                            135
036                  WQB-83823                            142
037                  CDC-36833                             37
038                  WQM-46249                            125
039                  TNG-52497                            113
040                  EPX-87469                             17
041                  HVX-35287                            161
042                  JPJ-26459                            111
043                  LZL-53762                            197
044                  AAV-93236                            109
045                  JVL-65247                             77
046                  RLT-57887                            173
047                  NXD-76943                            178
048                  PNF-53949                            130
049                  WMD-65834                            108
050                  KLA-57296                            165
051                  XKG-42573                              8
052                  BCU-27839                             24
053                  SPN-64546                             54
054                  QBZ-39849                            183
055                  XKG-42573                             95
056                  ZHA-83572                             29
057                  VJN-37687                             85
058                  NMA-58554                            175
059                  DAU-26394                              6
060                  HVE-32966                            162
061                  XBC-95594                            200
062                  JPJ-26459                             89
063                  YBD-67688                            144
064                  DHY-22445                             59
065                  NMA-58554                             79
066                  ZXB-54692                             22
067                  URL-32968                             26
068                  AJA-56777                            139
069                  WQB-83823                             33
070                  DHY-22445                             67
071                  KDV-97563                             83
072                  CQS-93978                             99
073                  JVL-65247                             61
074                  JPJ-26459                             35
075                  VXR-68924                              5
076                  ANR-65636                             72
077                  ZPF-96697                            181
078                  KMP-52243                            180
079                  SPN-64546                            176
080                  FNR-28782                            114
081                  FTD-84699                             38
082                  HVE-32966                            185
083                  QBD-79865                             82
084                  CPU-63784                            133
085                  NXD-76943                             64
086                  XJQ-35789                            124
087                  VJN-37687                             10
088                  TRM-27792                            188
089                  SPN-64546                            153
090                  CQS-93978                             76
091                  QBZ-39849                            199
092                  WBB-69295                             47
093                  YBD-67688                             66
094                  FNL-93857                            112
095                  SZA-87265                            103
096                  JYL-79355                            193
097                  GUJ-74444                            140
098                  PHE-99329                             90
099                  ZKV-31415                             49
100                  JPJ-26459                             73
