User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                             64
002                  PQJ-67335                             35
003                  VJN-37687                             47
004                  XRT-73276                             88
005                  LNC-68448                            197
006                  TXF-47848                             89
007                  AJA-56777                             93
008                  WBB-69295                            172
009                  TQC-49936                            186
010                  BCU-27839                            101
011                  HVX-35287                             25
012                  KQA-89952                            199
013                  VJN-37687                             69
014                  NWL-28282                             71
015                  TRM-27792                            194
016                  NMA-58554                             94
017                  CCG-95482                             81
018                  KDV-97563                            104
019                  YMA-56284                             20
020                  TNA-63396                             36
021                  TNA-63396                             57
022                  GBK-45859                             77
023                  BTN-83953                            106
024                  NMA-58554                            134
025                  PHE-99329                             95
026                  TNA-63396                            180
027                  WQM-46249                             62
028                  BTG-65524                             83
029                  XBC-95594                            147
030                  TNG-52497                             33
031                  YBD-67688                            103
032                  TQC-49936                              5
033                  HCY-32686                            168
034                  CDC-36833                             27
035                  KDV-97563                             58
036                  CDC-36833                             85
037                  GZN-34688                              3
038                  GUJ-74444                             51
039                  HVX-35287                            185
040                  HCY-32686                             56
041                  WQB-83823                            158
042                  EPX-87469                             73
043                  RLT-57887                             72
044                  NHP-43928                            193
045                  XKG-42573                             78
046                  ZHA-83572                            118
047                  QBD-79865                            145
048                  NMA-58554                            123
049                  DHY-22445                            137
050                  JVL-65247                            135
051                  HVE-32966                              9
052                  KQA-89952                            107
053                  YLW-92835                             18
054                  EPX-87469                             97
055                  DAU-26394                            148
056                  TLT-23593                            152
057                  CPU-63784                            126
058                  URL-32968                             55
059                  RGZ-73449                             67
060                  YMA-56284                            144
061                  LZL-53762                            196
062                  HVX-35287                             46
063                  LWR-78574                            111
064                  WBB-69295                            127
065                  CPU-63784                            102
066                  YMA-56284                            188
067                  NWL-28282                            146
068                  TXF-47848                             61
069                  SZA-87265                             19
070                  EFG-46945                             70
071                  XRT-73276                             11
072                  YXL-38878                            120
073                  CDC-36833                            114
074                  BTN-83953                            156
075                  ZKV-31415                             43
076                  NMA-58554                            128
077                  XRT-73276                            170
078                  VXR-68924                             39
079                  ZKV-31415                             98
080                  JVL-65247                             40
081                  KLA-57296                            200
082                  NXD-76943                            125
083                  FTD-84699                             15
084                  EPX-87469                            154
085                  RGZ-73449                            132
086                  HVE-32966                             75
087                  CPU-63784                             53
088                  LWR-78574                             34
089                  LWR-78574                             14
090                  RLT-57887                            142
091                  LNC-68448                              1
092                  KWH-94256                             44
093                  ANR-65636                             24
094                  TXF-47848                            162
095                  NVE-67597                              8
096                  LZL-53762                            157
097                  YBD-67688                             42
098                  TNG-52497                            184
099                  HNB-76282                            160
100                  ZXB-54692                             37
