User ID: 10592-17540

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GZN-34688                            113
002                  TLT-23593                             31
003                  BTG-65524                            152
004                  XBC-95594                            120
005                  LWR-78574                            186
006                  BTG-65524                             80
007                  ZKV-31415                              9
008                  DAU-26394                            123
009                  CQS-93978                             56
010                  HKZ-33728                            116
011                  HCY-32686                             20
012                  QBZ-39849                             39
013                  AJA-56777                             11
014                  CDC-36833                            106
015                  KQA-89952                             16
016                  KWH-94256                             86
017                  FNR-28782                              7
018                  PQJ-67335                             81
019                  KDV-97563                            131
020                  XBC-95594                              1
021                  QBZ-39849                            160
022                  JYL-79355                             12
023                  PHE-99329                             77
024                  GMS-89977                            179
025                  CPU-63784                             15
026                  TLT-23593                            171
027                  DAU-26394                            102
028                  BTG-65524                            164
029                  WMD-65834                            185
030                  EFG-46945                             54
031                  DHY-22445                             88
032                  PWT-38779                            163
033                  LNC-68448                            168
034                  KLA-57296                            124
035                  HVE-32966                             84
036                  VJN-37687                             48
037                  XRT-73276                             10
038                  YMA-56284                             25
039                  EPX-87469                            187
040                  TNX-51117                             30
041                  VJN-37687                            100
042                  QBZ-39849                            111
043                  BTN-83953                             68
044                  WBB-69295                             37
045                  HVE-32966                             43
046                  PNF-53949                            101
047                  TXF-47848                             73
048                  XKG-42573                            143
049                  TXF-47848                             44
050                  WQM-46249                            190
051                  NXD-76943                            142
052                  KDV-97563                            200
053                  PHE-99329                            173
054                  NHP-43928                            178
055                  YMA-56284                             59
056                  CCG-95482                             26
057                  YBD-67688                             69
058                  XRT-73276                             72
059                  BCU-27839                            130
060                  CQS-93978                            136
061                  LWR-78574                             71
062                  GMS-89977                            153
063                  KLA-57296                            115
064                  GMS-89977                             58
065                  WQM-46249                            139
066                  BMN-57337                             34
067                  AJA-56777                             67
068                  TNX-51117                             46
069                  DAU-26394                            117
070                  TXF-47848                             97
071                  TLT-23593                            128
072                  FTD-84699                             33
073                  XBC-95594                             50
074                  VXR-68924                              6
075                  BMN-57337                            198
076                  VXR-68924                             74
077                  CCG-95482                            126
078                  NMA-58554                             83
079                  XKG-42573                             28
080                  VXR-68924                             57
081                  HNB-76282                             41
082                  KDV-97563                             45
083                  HKZ-33728                             78
084                  CPU-63784                            138
085                  NWL-28282                            167
086                  AJA-56777                              4
087                  LWR-78574                             21
088                  AJA-56777                            191
089                  SZA-87265                             60
090                  ZPF-96697                             93
091                  SPN-64546                            184
092                  KQA-89952                            109
093                  KDV-97563                            103
094                  XJQ-35789                            125
095                  SZA-87265                            175
096                  PQJ-67335                            166
097                  YLW-92835                             95
098                  ZXB-54692                             65
099                  PWT-38779                            119
100                  EPX-87469                            133
