User ID: 73632-00344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LZL-53762                            159
002                  TNX-51117                            193
003                  PNF-53949                            179
004                  LWR-78574                             32
005                  VWM-74278                             30
006                  GBK-45859                             11
007                  TNG-52497                            152
008                  TQC-49936                            172
009                  TRM-27792                              4
010                  LWR-78574                             61
011                  KLA-57296                            117
012                  FNL-93857                             46
013                  KWH-94256                             18
014                  GMS-89977                              5
015                  PNF-53949                            137
016                  KDV-97563                            178
017                  NMA-58554                            140
018                  PWT-38779                            118
019                  HKZ-33728                            128
020                  VWM-74278                             55
021                  BCU-27839                             56
022                  PZV-75529                            196
023                  JYL-79355                            142
024                  FTD-84699                            180
025                  HVX-35287                             60
026                  PNF-53949                            153
027                  DAU-26394                            100
028                  HCY-32686                            104
029                  LNC-68448                             41
030                  HVX-35287                            176
031                  CQS-93978                             16
032                  GBK-45859                            158
033                  NMA-58554                             93
034                  ZPF-96697                             86
035                  ZXB-54692                             33
036                  ZPF-96697                             28
037                  BTG-65524                            139
038                  KDV-97563                            147
039                  BTN-83953                             43
040                  AAV-93236                            156
041                  BCU-27839                            200
042                  CDC-36833                            112
043                  ZXB-54692                             29
044                  XBC-95594                            164
045                  RLT-57887                            123
046                  HCY-32686                            187
047                  LZL-53762                            173
048                  RGZ-73449                            150
049                  XJQ-35789                             84
050                  LNC-68448                             77
051                  WQB-83823                            105
052                  NWL-28282                            144
053                  TLT-23593                            157
054                  TQC-49936                            191
055                  ANR-65636                             25
056                  QBZ-39849                             91
057                  NHP-43928                             87
058                  WQM-46249                             96
059                  PZV-75529                              3
060                  RGZ-73449                            185
061                  GMS-89977                            175
062                  HVE-32966                             35
063                  JVL-65247                             15
064                  LWR-78574                             38
065                  VWM-74278                             89
066                  XBC-95594                             36
067                  EFG-46945                            107
068                  ANR-65636                            130
069                  AJA-56777                             65
070                  YLW-92835                            114
071                  NMA-58554                            136
072                  PZV-75529                              7
073                  GBK-45859                            174
074                  PZV-75529                             42
075                  HCY-32686                              9
076                  TRM-27792                            109
077                  WBB-69295                             34
078                  RGZ-73449                            162
079                  DHY-22445                            134
080                  CCG-95482                            115
081                  HVX-35287                             27
082                  RGZ-73449                             99
083                  TNA-63396                            192
084                  HKZ-33728                             54
085                  RLT-57887                             66
086                  XBC-95594                            132
087                  GZN-34688                             59
088                  NVE-67597                             98
089                  WQM-46249                            120
090                  NHP-43928                             67
091                  GZN-34688                            194
092                  KMP-52243                             68
093                  ZHA-83572                            151
094                  KMP-52243                            116
095                  KQA-89952                            197
096                  ANR-65636                            170
097                  YBD-67688                             13
098                  TNG-52497                             37
099                  ZKV-31415                            183
100                  BMN-57337                            163
