User ID: 81461-39190

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                             43
002                  EPX-87469                            138
003                  JYL-79355                             26
004                  SPN-64546                             59
005                  NXD-76943                            166
006                  PHE-99329                            177
007                  KMP-52243                            115
008                  NMA-58554                            110
009                  EFG-46945                             25
010                  WMD-65834                             91
011                  WQM-46249                             35
012                  FTD-84699                            160
013                  BCU-27839                            144
014                  DAU-26394                             15
015                  ZXB-54692                             74
016                  FTD-84699                             80
017                  DHY-22445                            163
018                  GUJ-74444                            174
019                  RGZ-73449                            193
020                  QBZ-39849                            152
021                  HKZ-33728                            132
022                  TNG-52497                            169
023                  PZV-75529                            106
024                  FTD-84699                              8
025                  TNX-51117                             16
026                  YBD-67688                              1
027                  XKG-42573                             40
028                  EPX-87469                            125
029                  FNL-93857                             28
030                  YLW-92835                            179
031                  VJN-37687                            199
032                  TNG-52497                             76
033                  RGZ-73449                            173
034                  TNG-52497                            102
035                  RGZ-73449                             20
036                  TRM-27792                            181
037                  KWH-94256                             21
038                  GBK-45859                            168
039                  VWM-74278                             72
040                  AJA-56777                             31
041                  TLT-23593                            122
042                  DHY-22445                             32
043                  TRM-27792                            128
044                  TNX-51117                            170
045                  GUJ-74444                            155
046                  PWT-38779                             14
047                  VWM-74278                            126
048                  TNG-52497                             37
049                  KQA-89952                            104
050                  ZHA-83572                             48
051                  DHY-22445                             52
052                  GBK-45859                             84
053                  TNA-63396                            131
054                  XRT-73276                             64
055                  TLT-23593                            149
056                  PWT-38779                             13
057                  TRM-27792                             75
058                  SPN-64546                             53
059                  PQJ-67335                            188
060                  WQM-46249                            127
061                  ANR-65636                             68
062                  GBK-45859                              5
063                  HVE-32966                             87
064                  KWH-94256                             18
065                  YMA-56284                            172
066                  FYK-67999                             27
067                  YLW-92835                             62
068                  RLT-57887                             78
069                  KQA-89952                              9
070                  ZXB-54692                             11
071                  GMS-89977                            151
072                  XRT-73276                             19
073                  GZN-34688                            183
074                  WBB-69295                             23
075                  URL-32968                             41
076                  NVE-67597                            109
077                  XJQ-35789                             89
078                  RGZ-73449                            161
079                  VWM-74278                            136
080                  TQC-49936                            184
081                  KMP-52243                            146
082                  TXF-47848                             82
083                  YMA-56284                             94
084                  XBC-95594                            191
085                  FNR-28782                             49
086                  TLT-23593                             17
087                  SZA-87265                            154
088                  NXD-76943                             79
089                  AJA-56777                             73
090                  KWH-94256                             66
091                  AAV-93236                            159
092                  TQC-49936                            164
093                  GMS-89977                             51
094                  KWH-94256                             97
095                  WQM-46249                            200
096                  BTN-83953                            153
097                  PZV-75529                             92
098                  KWH-94256                            162
099                  PZV-75529                              6
100                  ANR-65636                            148
