User ID: 84209-46116

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KQA-89952                            118
002                  TLT-23593                             79
003                  QBD-79865                             36
004                  SPN-64546                             33
005                  ANR-65636                              4
006                  KDV-97563                            129
007                  QBD-79865                            157
008                  FTD-84699                             73
009                  BTG-65524                            175
010                  VJN-37687                             80
011                  BTG-65524                            196
012                  LZL-53762                            123
013                  WBB-69295                             90
014                  EPX-87469                             85
015                  PZV-75529                             12
016                  KWH-94256                             21
017                  PNF-53949                            112
018                  QBD-79865                             89
019                  RLT-57887                             75
020                  SZA-87265                              9
021                  CQS-93978                             53
022                  PZV-75529                            139
023                  EFG-46945                             17
024                  XKG-42573                             76
025                  KQA-89952                             65
026                  VWM-74278                            116
027                  JYL-79355                             15
028                  ZHA-83572                            103
029                  FYK-67999                             54
030                  XJQ-35789                             83
031                  NMA-58554                            140
032                  SZA-87265                            195
033                  TNG-52497                            135
034                  WMD-65834                            143
035                  FTD-84699                             22
036                  YMA-56284                            125
037                  GBK-45859                              1
038                  QBZ-39849                             30
039                  ZKV-31415                            197
040                  GUJ-74444                             29
041                  XJQ-35789                            153
042                  KMP-52243                             77
043                  CPU-63784                              6
044                  XRT-73276                            106
045                  PHE-99329                             32
046                  FYK-67999                             94
047                  EPX-87469                             66
048                  NMA-58554                            138
049                  PHE-99329                             10
050                  GUJ-74444                            170
051                  HVE-32966                             61
052                  ANR-65636                            181
053                  ANR-65636                            161
054                  YMA-56284                             14
055                  BCU-27839                             26
056                  TNA-63396                            168
057                  JYL-79355                             52
058                  BTG-65524                            126
059                  BTG-65524                             64
060                  YMA-56284                            191
061                  KWH-94256                            124
062                  JPJ-26459                            144
063                  PZV-75529                            187
064                  BTN-83953                            179
065                  AAV-93236                            148
066                  HNB-76282                             95
067                  AAV-93236                             51
068                  FTD-84699                            162
069                  AAV-93236                             34
070                  HCY-32686                            186
071                  DAU-26394                             43
072                  BCU-27839                            165
073                  CCG-95482                             93
074                  EPX-87469                             92
075                  YLW-92835                            155
076                  EPX-87469                            178
077                  WQM-46249                             40
078                  LWR-78574                            104
079                  ZXB-54692                             42
080                  HCY-32686                            146
081                  AAV-93236                             96
082                  XKG-42573                             81
083                  ZKV-31415                            171
084                  CPU-63784                            177
085                  VJN-37687                              8
086                  TLT-23593                            100
087                  YMA-56284                              5
088                  HCY-32686                            128
089                  NWL-28282                            180
090                  HKZ-33728                            150
091                  BTN-83953                             87
092                  GBK-45859                             97
093                  HNB-76282                             47
094                  ZHA-83572                            132
095                  TQC-49936                             63
096                  CPU-63784                             78
097                  XJQ-35789                             46
098                  TXF-47848                             71
099                  KMP-52243                            151
100                  PZV-75529                            127
