User ID: 48757-77990

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                            172
002                  HCY-32686                            178
003                  PNF-53949                            101
004                  LNC-68448                            182
005                  VJN-37687                            157
006                  KWH-94256                            119
007                  RLT-57887                             85
008                  KWH-94256                             13
009                  WMD-65834                            103
010                  VXR-68924                             86
011                  VXR-68924                             25
012                  LWR-78574                             97
013                  SPN-64546                             27
014                  ZXB-54692                             48
015                  KQA-89952                            151
016                  XJQ-35789                             16
017                  HZF-45469                             18
018                  TXF-47848                             68
019                  CCG-95482                            126
020                  FNR-28782                             41
021                  TXF-47848                              6
022                  VWM-74278                            174
023                  LWR-78574                             57
024                  CCG-95482                            113
025                  TLT-23593                            167
026                  TLT-23593                             42
027                  BTN-83953                              4
028                  CDC-36833                             33
029                  YLW-92835                             94
030                  HZF-45469                             69
031                  DAU-26394                            107
032                  YXL-38878                            175
033                  NMA-58554                            111
034                  BTG-65524                             87
035                  DHY-22445                            187
036                  TRM-27792                             10
037                  KWH-94256                             45
038                  NVE-67597                            183
039                  DAU-26394                             63
040                  FNL-93857                            120
041                  FNL-93857                             77
042                  HNB-76282                              9
043                  SPN-64546                             40
044                  QBD-79865                            158
045                  WMD-65834                            190
046                  PQJ-67335                            145
047                  KWH-94256                            200
048                  HNB-76282                             24
049                  EFG-46945                             99
050                  ZXB-54692                             22
051                  YLW-92835                             21
052                  PHE-99329                              7
053                  ANR-65636                            133
054                  CPU-63784                              1
055                  HZF-45469                            142
056                  LNC-68448                            164
057                  KDV-97563                            137
058                  LWR-78574                             30
059                  XBC-95594                             26
060                  VXR-68924                              8
061                  SPN-64546                            128
062                  LWR-78574                            162
063                  ZKV-31415                            160
064                  WQB-83823                            179
065                  JYL-79355                            104
066                  YXL-38878                            132
067                  PZV-75529                            136
068                  TXF-47848                             49
069                  PZV-75529                             23
070                  PNF-53949                            147
071                  HVX-35287                            121
072                  GUJ-74444                             91
073                  ZPF-96697                             28
074                  WQB-83823                             31
075                  GUJ-74444                             14
076                  LWR-78574                            191
077                  AAV-93236                            186
078                  NVE-67597                            116
079                  TNG-52497                            125
080                  KLA-57296                             67
081                  JYL-79355                            118
082                  KWH-94256                            194
083                  NMA-58554                            105
084                  YMA-56284                             12
085                  HZF-45469                            189
086                  TLT-23593                             66
087                  AJA-56777                            135
088                  WQM-46249                            143
089                  XKG-42573                             58
090                  YLW-92835                            163
091                  TRM-27792                            102
092                  PZV-75529                             96
093                  KQA-89952                            123
094                  HZF-45469                            155
095                  AJA-56777                             83
096                  RGZ-73449                            166
097                  WBB-69295                            176
098                  XJQ-35789                            127
099                  TNG-52497                            106
100                  KWH-94256                            188
