User ID: 93445-12424

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                             47
002                  BMN-57337                             66
003                  KMP-52243                            157
004                  TLT-23593                             62
005                  ZPF-96697                             28
006                  HNB-76282                             38
007                  LWR-78574                            200
008                  TNG-52497                              4
009                  GZN-34688                             36
010                  VXR-68924                              1
011                  VWM-74278                            125
012                  XJQ-35789                             52
013                  QBZ-39849                              9
014                  BCU-27839                             29
015                  FYK-67999                             73
016                  NVE-67597                             34
017                  LWR-78574                            142
018                  HCY-32686                            182
019                  BCU-27839                             80
020                  LZL-53762                             44
021                  TLT-23593                            184
022                  BTN-83953                             31
023                  EFG-46945                            145
024                  VWM-74278                             95
025                  QBZ-39849                             25
026                  TNG-52497                            155
027                  YLW-92835                            169
028                  FTD-84699                             65
029                  YLW-92835                            110
030                  HCY-32686                            168
031                  JYL-79355                            192
032                  CPU-63784                             40
033                  TXF-47848                             88
034                  VXR-68924                            177
035                  LNC-68448                             90
036                  AAV-93236                            194
037                  FNL-93857                            193
038                  VJN-37687                            128
039                  AJA-56777                             69
040                  GUJ-74444                            137
041                  RGZ-73449                              6
042                  EFG-46945                             21
043                  KQA-89952                             12
044                  CDC-36833                            140
045                  TNX-51117                            108
046                  CCG-95482                             11
047                  BCU-27839                             16
048                  XRT-73276                             45
049                  VJN-37687                            131
050                  AAV-93236                             24
051                  TQC-49936                            153
052                  LZL-53762                              5
053                  LZL-53762                             85
054                  QBZ-39849                             19
055                  HKZ-33728                            133
056                  GZN-34688                            171
057                  SPN-64546                            170
058                  HNB-76282                             93
059                  HKZ-33728                             84
060                  WQM-46249                            118
061                  GBK-45859                            166
062                  ZHA-83572                             92
063                  ZHA-83572                            130
064                  JPJ-26459                            174
065                  NVE-67597                             61
066                  EFG-46945                             59
067                  SZA-87265                            149
068                  LWR-78574                            111
069                  FYK-67999                             81
070                  ZKV-31415                            181
071                  VXR-68924                            103
072                  HKZ-33728                            100
073                  XBC-95594                             33
074                  GMS-89977                             20
075                  WBB-69295                            148
076                  BTG-65524                            102
077                  WQB-83823                             43
078                  KDV-97563                             67
079                  PQJ-67335                            165
080                  TQC-49936                            113
081                  NVE-67597                             76
082                  BTG-65524                             49
083                  LZL-53762                              7
084                  SPN-64546                            189
085                  GZN-34688                            117
086                  BTN-83953                             86
087                  SZA-87265                            146
088                  HVE-32966                            138
089                  HVE-32966                             41
090                  GZN-34688                             63
091                  VWM-74278                            178
092                  FYK-67999                            114
093                  TNA-63396                            172
094                  RLT-57887                             27
095                  JPJ-26459                             23
096                  KLA-57296                             99
097                  GZN-34688                            180
098                  WMD-65834                            104
099                  TRM-27792                            144
100                  PZV-75529                            176
