User ID: 33618-79986

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                            119
002                  RGZ-73449                             15
003                  ZKV-31415                             11
004                  HNB-76282                            176
005                  WMD-65834                             33
006                  BCU-27839                             14
007                  KWH-94256                            163
008                  CCG-95482                            152
009                  TQC-49936                            138
010                  PWT-38779                             38
011                  XKG-42573                            191
012                  HVE-32966                             74
013                  FNR-28782                             86
014                  CDC-36833                             12
015                  CQS-93978                            123
016                  PQJ-67335                             24
017                  NHP-43928                            184
018                  AAV-93236                            186
019                  PWT-38779                             51
020                  SPN-64546                             50
021                  GUJ-74444                            100
022                  YMA-56284                             97
023                  KQA-89952                              9
024                  JPJ-26459                             16
025                  NXD-76943                             44
026                  YLW-92835                            190
027                  PQJ-67335                            198
028                  PZV-75529                             36
029                  AJA-56777                            117
030                  NHP-43928                             87
031                  XKG-42573                            173
032                  WQM-46249                             89
033                  RLT-57887                             78
034                  YBD-67688                             83
035                  KQA-89952                            102
036                  WQB-83823                             40
037                  HVX-35287                              2
038                  BTG-65524                             70
039                  PWT-38779                            164
040                  TNX-51117                             90
041                  TLT-23593                            104
042                  NHP-43928                             52
043                  WBB-69295                            103
044                  RLT-57887                            185
045                  YLW-92835                            188
046                  ZHA-83572                            131
047                  DAU-26394                            148
048                  JPJ-26459                            108
049                  TQC-49936                             71
050                  JYL-79355                             25
051                  QBZ-39849                             77
052                  VXR-68924                            161
053                  PWT-38779                            136
054                  YBD-67688                             84
055                  ANR-65636                             65
056                  QBD-79865                            146
057                  XBC-95594                            187
058                  GZN-34688                            169
059                  WQB-83823                            120
060                  EPX-87469                             92
061                  HVX-35287                             85
062                  NMA-58554                            134
063                  TRM-27792                            195
064                  CDC-36833                             82
065                  BCU-27839                            124
066                  QBZ-39849                            116
067                  BTN-83953                             93
068                  HVE-32966                             76
069                  KWH-94256                             96
070                  HKZ-33728                             30
071                  HKZ-33728                            159
072                  KLA-57296                            170
073                  HKZ-33728                             27
074                  HKZ-33728                             13
075                  ZKV-31415                            132
076                  EFG-46945                            156
077                  YLW-92835                            142
078                  YLW-92835                            129
079                  GZN-34688                             21
080                  WQB-83823                             28
081                  DAU-26394                             66
082                  PZV-75529                             43
083                  PZV-75529                            197
084                  JVL-65247                             68
085                  FNR-28782                              8
086                  VXR-68924                            165
087                  YBD-67688                             72
088                  ZHA-83572                            139
089                  ZKV-31415                             35
090                  WMD-65834                             31
091                  HCY-32686                             46
092                  QBZ-39849                             99
093                  XRT-73276                            179
094                  TNA-63396                             55
095                  TQC-49936                             10
096                  VJN-37687                            178
097                  KLA-57296                             17
098                  GZN-34688                            172
099                  FNR-28782                            140
100                  GZN-34688                              3
