User ID: 52357-54349

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KMP-52243                             97
002                  YMA-56284                             81
003                  QBD-79865                             26
004                  CQS-93978                             59
005                  XKG-42573                            175
006                  JPJ-26459                            190
007                  DAU-26394                             20
008                  FYK-67999                             36
009                  WMD-65834                            128
010                  KLA-57296                             95
011                  CPU-63784                            125
012                  YMA-56284                            174
013                  FNL-93857                            187
014                  NVE-67597                            185
015                  GZN-34688                            130
016                  WQB-83823                            171
017                  VWM-74278                              7
018                  NWL-28282                             33
019                  EFG-46945                            196
020                  GZN-34688                            198
021                  LZL-53762                             94
022                  TNA-63396                            107
023                  SPN-64546                             17
024                  JPJ-26459                            156
025                  ZXB-54692                             46
026                  WQB-83823                            142
027                  LWR-78574                              3
028                  BTN-83953                            188
029                  KWH-94256                            141
030                  CDC-36833                            122
031                  GMS-89977                            137
032                  KLA-57296                            101
033                  TQC-49936                            105
034                  TNX-51117                             25
035                  HZF-45469                            145
036                  FTD-84699                            181
037                  TNX-51117                             45
038                  RGZ-73449                            109
039                  TXF-47848                             82
040                  PQJ-67335                             12
041                  NWL-28282                            151
042                  CPU-63784                            144
043                  ZPF-96697                            170
044                  LNC-68448                             44
045                  PNF-53949                             37
046                  QBD-79865                            139
047                  VXR-68924                            146
048                  DAU-26394                             73
049                  PWT-38779                             74
050                  TNA-63396                            104
051                  HNB-76282                            127
052                  LWR-78574                             16
053                  YBD-67688                             21
054                  BTG-65524                            166
055                  TNG-52497                             39
056                  HZF-45469                             70
057                  BTN-83953                             49
058                  ZKV-31415                            108
059                  QBZ-39849                              8
060                  GUJ-74444                            189
061                  HNB-76282                            158
062                  PHE-99329                            103
063                  JYL-79355                            126
064                  QBD-79865                             13
065                  RLT-57887                             52
066                  GBK-45859                            123
067                  WQM-46249                            148
068                  BMN-57337                            197
069                  LZL-53762                             72
070                  XKG-42573                             47
071                  HZF-45469                            191
072                  LWR-78574                              5
073                  CDC-36833                            200
074                  FYK-67999                             31
075                  XBC-95594                            183
076                  GBK-45859                            121
077                  NMA-58554                             61
078                  LWR-78574                            102
079                  TLT-23593                            152
080                  NHP-43928                            106
081                  CCG-95482                             55
082                  QBZ-39849                            162
083                  PQJ-67335                            147
084                  CCG-95482                             92
085                  HZF-45469                            124
086                  CDC-36833                            112
087                  DAU-26394                            164
088                  LZL-53762                             19
089                  KWH-94256                             14
090                  FNL-93857                             87
091                  PQJ-67335                            132
092                  PZV-75529                            118
093                  CPU-63784                             99
094                  NHP-43928                             30
095                  BMN-57337                              4
096                  SPN-64546                             66
097                  HZF-45469                            176
098                  ZKV-31415                            150
099                  GUJ-74444                             63
100                  WQM-46249                            113
