User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TQC-49936                            129
002                  ZHA-83572                             81
003                  HVX-35287                            144
004                  LZL-53762                            154
005                  XRT-73276                             36
006                  NXD-76943                             40
007                  EFG-46945                            146
008                  ZKV-31415                            111
009                  FNR-28782                             45
010                  NMA-58554                             42
011                  LNC-68448                            109
012                  JPJ-26459                             90
013                  SZA-87265                             53
014                  PWT-38779                            186
015                  HKZ-33728                             33
016                  KWH-94256                              1
017                  XJQ-35789                             20
018                  NWL-28282                             38
019                  LWR-78574                            121
020                  NHP-43928                             25
021                  WQM-46249                            198
022                  QBZ-39849                            162
023                  XBC-95594                            133
024                  URL-32968                            126
025                  HKZ-33728                            168
026                  KQA-89952                            189
027                  QBD-79865                            161
028                  CDC-36833                             72
029                  YXL-38878                            136
030                  JPJ-26459                              2
031                  PWT-38779                            149
032                  FYK-67999                             89
033                  DAU-26394                             55
034                  EFG-46945                            116
035                  AJA-56777                             17
036                  PQJ-67335                             31
037                  HVE-32966                            118
038                  XJQ-35789                             43
039                  ZPF-96697                            169
040                  HZF-45469                            148
041                  RGZ-73449                             13
042                  ZKV-31415                            131
043                  BCU-27839                            125
044                  RLT-57887                            102
045                  JPJ-26459                            177
046                  NMA-58554                             44
047                  HZF-45469                             58
048                  RGZ-73449                             39
049                  PZV-75529                            165
050                  LWR-78574                            166
051                  RLT-57887                             61
052                  WQB-83823                             80
053                  KLA-57296                             24
054                  NHP-43928                             34
055                  XKG-42573                            167
056                  ZKV-31415                            153
057                  XRT-73276                            123
058                  YLW-92835                             52
059                  HKZ-33728                            179
060                  HVE-32966                             46
061                  RGZ-73449                             85
062                  YLW-92835                             14
063                  WBB-69295                             29
064                  VJN-37687                            152
065                  WMD-65834                            181
066                  NWL-28282                             27
067                  XKG-42573                             65
068                  WMD-65834                             84
069                  ZKV-31415                             66
070                  HCY-32686                             75
071                  QBD-79865                             51
072                  ANR-65636                            113
073                  WQM-46249                             22
074                  CPU-63784                            187
075                  DAU-26394                            180
076                  HCY-32686                            160
077                  GZN-34688                             71
078                  XBC-95594                             47
079                  KDV-97563                            191
080                  EPX-87469                            183
081                  JYL-79355                             35
082                  TNA-63396                             82
083                  VWM-74278                             88
084                  TNX-51117                             15
085                  JVL-65247                            115
086                  JVL-65247                            110
087                  AAV-93236                            174
088                  VWM-74278                             78
089                  VJN-37687                            112
090                  BCU-27839                             32
091                  ZKV-31415                             77
092                  TRM-27792                            122
093                  WQM-46249                              3
094                  CPU-63784                            190
095                  WMD-65834                            135
096                  RGZ-73449                             59
097                  JYL-79355                            184
098                  ZPF-96697                            150
099                  KMP-52243                            158
100                  ANR-65636                             62
