User ID: 26985-90240

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZHA-83572                            147
002                  QBD-79865                            161
003                  WQM-46249                            121
004                  AJA-56777                             87
005                  URL-32968                             62
006                  YXL-38878                             65
007                  PNF-53949                             60
008                  KWH-94256                             18
009                  HCY-32686                              1
010                  XBC-95594                            115
011                  NWL-28282                             63
012                  QBZ-39849                             28
013                  NHP-43928                             81
014                  DAU-26394                            138
015                  PZV-75529                            174
016                  ZXB-54692                            101
017                  PWT-38779                             57
018                  PQJ-67335                             76
019                  BTN-83953                            139
020                  FYK-67999                             73
021                  NWL-28282                             89
022                  TRM-27792                             41
023                  YMA-56284                            191
024                  TNG-52497                             69
025                  NMA-58554                             59
026                  LNC-68448                            130
027                  YXL-38878                            193
028                  DAU-26394                            112
029                  QBZ-39849                            133
030                  FYK-67999                            188
031                  KMP-52243                            198
032                  HZF-45469                            194
033                  LWR-78574                            177
034                  FTD-84699                              4
035                  LZL-53762                             99
036                  KDV-97563                             82
037                  EPX-87469                            170
038                  YLW-92835                            111
039                  PNF-53949                            151
040                  SPN-64546                             96
041                  HKZ-33728                            120
042                  LWR-78574                             30
043                  SZA-87265                             47
044                  WQB-83823                             75
045                  GBK-45859                            149
046                  QBD-79865                             39
047                  KWH-94256                             21
048                  TQC-49936                            100
049                  RGZ-73449                            152
050                  TNA-63396                             95
051                  XKG-42573                             12
052                  WMD-65834                             10
053                  DHY-22445                              8
054                  EFG-46945                            103
055                  TRM-27792                            185
056                  YXL-38878                             90
057                  PQJ-67335                             31
058                  PQJ-67335                             64
059                  NWL-28282                             72
060                  HKZ-33728                             42
061                  NVE-67597                             24
062                  WQM-46249                            156
063                  TQC-49936                             25
064                  CQS-93978                             14
065                  KDV-97563                              6
066                  KMP-52243                             84
067                  YMA-56284                            172
068                  YMA-56284                            116
069                  CDC-36833                            181
070                  JVL-65247                             49
071                  BTN-83953                            146
072                  QBD-79865                             68
073                  DHY-22445                            192
074                  FYK-67999                             35
075                  GZN-34688                            178
076                  YLW-92835                            129
077                  TNX-51117                            142
078                  JPJ-26459                            157
079                  BTN-83953                            159
080                  AAV-93236                            108
081                  QBZ-39849                             61
082                  NWL-28282                              2
083                  WBB-69295                            148
084                  JPJ-26459                            123
085                  WBB-69295                             70
086                  YMA-56284                            180
087                  CPU-63784                            179
088                  VXR-68924                            160
089                  LWR-78574                            165
090                  TNX-51117                             27
091                  PWT-38779                             29
092                  AAV-93236                            106
093                  HVE-32966                            154
094                  GBK-45859                             80
095                  JYL-79355                            200
096                  EPX-87469                             11
097                  LNC-68448                            134
098                  XKG-42573                             45
099                  TLT-23593                             79
100                  ZKV-31415                            199
