User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HKZ-33728                             30
002                  TNA-63396                            113
003                  BTN-83953                             72
004                  XKG-42573                            108
005                  ZHA-83572                             79
006                  ZPF-96697                             55
007                  LNC-68448                            173
008                  ZHA-83572                             95
009                  TQC-49936                            105
010                  PHE-99329                            151
011                  TQC-49936                             84
012                  AAV-93236                            172
013                  TNA-63396                            120
014                  KLA-57296                            163
015                  JYL-79355                             18
016                  KWH-94256                             68
017                  BMN-57337                             71
018                  WQM-46249                            191
019                  NHP-43928                             50
020                  BCU-27839                             74
021                  FNR-28782                             99
022                  TNG-52497                            121
023                  GBK-45859                             10
024                  AJA-56777                            153
025                  LNC-68448                            179
026                  DHY-22445                            131
027                  PHE-99329                             45
028                  KLA-57296                            144
029                  HKZ-33728                             88
030                  KMP-52243                             17
031                  FNL-93857                              6
032                  YMA-56284                            164
033                  HZF-45469                             86
034                  HKZ-33728                            134
035                  CDC-36833                            146
036                  GBK-45859                            104
037                  BTN-83953                            116
038                  FNL-93857                             37
039                  XJQ-35789                            154
040                  SZA-87265                            107
041                  RGZ-73449                             43
042                  BTN-83953                            184
043                  YBD-67688                             98
044                  VXR-68924                             41
045                  XRT-73276                             78
046                  NXD-76943                            182
047                  FNR-28782                             29
048                  BCU-27839                             58
049                  DHY-22445                             80
050                  DAU-26394                              7
051                  SPN-64546                            180
052                  WBB-69295                            162
053                  FNL-93857                             66
054                  RLT-57887                            103
055                  WQB-83823                            170
056                  GBK-45859                            181
057                  KLA-57296                              5
058                  SPN-64546                            194
059                  RLT-57887                             21
060                  SPN-64546                            106
061                  QBD-79865                              8
062                  EFG-46945                             28
063                  FNL-93857                            143
064                  RLT-57887                            118
065                  QBD-79865                            109
066                  TNX-51117                            137
067                  NXD-76943                            149
068                  LZL-53762                            168
069                  CQS-93978                             22
070                  RGZ-73449                             56
071                  YBD-67688                            115
072                  BMN-57337                             60
073                  ZPF-96697                             25
074                  ZPF-96697                             69
075                  YXL-38878                              2
076                  WMD-65834                            124
077                  LZL-53762                             65
078                  TLT-23593                            155
079                  RGZ-73449                            198
080                  TNA-63396                            125
081                  CDC-36833                             92
082                  BTG-65524                            158
083                  HZF-45469                             81
084                  JPJ-26459                            132
085                  HZF-45469                             62
086                  BCU-27839                            117
087                  XJQ-35789                             24
088                  XJQ-35789                             48
089                  GUJ-74444                             83
090                  QBZ-39849                            141
091                  AAV-93236                            196
092                  FNL-93857                             49
093                  FTD-84699                            100
094                  LWR-78574                            188
095                  YXL-38878                             27
096                  CPU-63784                            165
097                  BMN-57337                            128
098                  HZF-45469                             82
099                  NVE-67597                            161
100                  BTN-83953                            139
