User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                            170
002                  NVE-67597                             11
003                  PQJ-67335                            124
004                  CQS-93978                              5
005                  YMA-56284                            103
006                  SZA-87265                            147
007                  PHE-99329                             88
008                  HNB-76282                              1
009                  BMN-57337                             81
010                  VJN-37687                             41
011                  ZPF-96697                             80
012                  BMN-57337                             15
013                  LZL-53762                             95
014                  WMD-65834                            100
015                  VXR-68924                             37
016                  ZPF-96697                            138
017                  CDC-36833                            130
018                  WQM-46249                            197
019                  GUJ-74444                            187
020                  RLT-57887                            159
021                  TRM-27792                            182
022                  RGZ-73449                            184
023                  YMA-56284                            116
024                  HCY-32686                            177
025                  TQC-49936                             57
026                  VJN-37687                             97
027                  AAV-93236                             63
028                  JVL-65247                            158
029                  ZKV-31415                             67
030                  FTD-84699                            132
031                  FNR-28782                             40
032                  YMA-56284                            142
033                  EPX-87469                             45
034                  NXD-76943                             54
035                  WQM-46249                             25
036                  QBZ-39849                            176
037                  TLT-23593                            185
038                  PZV-75529                             87
039                  HZF-45469                             33
040                  HKZ-33728                            129
041                  SPN-64546                             60
042                  DAU-26394                             38
043                  TRM-27792                            144
044                  XRT-73276                            109
045                  KLA-57296                             58
046                  JPJ-26459                             72
047                  GBK-45859                             24
048                  PHE-99329                            127
049                  VJN-37687                             50
050                  TNA-63396                             83
051                  XKG-42573                            102
052                  LWR-78574                             18
053                  HVX-35287                            163
054                  YMA-56284                              7
055                  DAU-26394                            195
056                  YXL-38878                            194
057                  CPU-63784                            113
058                  TXF-47848                            146
059                  BTG-65524                            137
060                  KQA-89952                             22
061                  ZHA-83572                             90
062                  ANR-65636                            169
063                  TQC-49936                            136
064                  YLW-92835                             48
065                  SZA-87265                            186
066                  AJA-56777                             71
067                  FYK-67999                            174
068                  FNR-28782                             77
069                  XKG-42573                             91
070                  NHP-43928                             34
071                  JVL-65247                            150
072                  QBZ-39849                            104
073                  FNR-28782                             85
074                  YMA-56284                             92
075                  HCY-32686                            148
076                  FTD-84699                             66
077                  HCY-32686                             89
078                  TNX-51117                            200
079                  HNB-76282                             98
080                  NWL-28282                            157
081                  HZF-45469                             70
082                  PZV-75529                             75
083                  TQC-49936                             42
084                  QBD-79865                             27
085                  VJN-37687                            155
086                  HVX-35287                             17
087                  XJQ-35789                            198
088                  XRT-73276                            161
089                  GBK-45859                            171
090                  BCU-27839                            106
091                  GBK-45859                             31
092                  TNG-52497                              9
093                  YXL-38878                            110
094                  CCG-95482                             32
095                  GZN-34688                             99
096                  JVL-65247                             62
097                  TNX-51117                            120
098                  ZKV-31415                            111
099                  LZL-53762                            131
100                  ZXB-54692                             19
