User ID: 49728-91010

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZXB-54692                             54
002                  LZL-53762                             36
003                  LZL-53762                            125
004                  KWH-94256                            165
005                  YBD-67688                            160
006                  PZV-75529                             50
007                  TXF-47848                             25
008                  TQC-49936                            123
009                  SZA-87265                            181
010                  TXF-47848                            139
011                  NHP-43928                            188
012                  ZHA-83572                            182
013                  WQB-83823                             11
014                  SPN-64546                            117
015                  BTG-65524                            119
016                  AAV-93236                             84
017                  TQC-49936                             90
018                  QBZ-39849                            140
019                  HVX-35287                            110
020                  KDV-97563                             10
021                  TLT-23593                            200
022                  EFG-46945                             85
023                  VWM-74278                            194
024                  XBC-95594                            116
025                  HKZ-33728                            186
026                  TNA-63396                              9
027                  TNA-63396                             35
028                  QBZ-39849                            112
029                  KQA-89952                             24
030                  KDV-97563                             23
031                  NHP-43928                             26
032                  HNB-76282                             77
033                  WQM-46249                            159
034                  LZL-53762                            171
035                  GZN-34688                              5
036                  EPX-87469                             45
037                  FYK-67999                             94
038                  TLT-23593                            195
039                  FNR-28782                             27
040                  XBC-95594                            138
041                  FNR-28782                             91
042                  XBC-95594                             44
043                  NVE-67597                             37
044                  QBZ-39849                             71
045                  PZV-75529                             40
046                  PNF-53949                             76
047                  DAU-26394                            163
048                  QBD-79865                             75
049                  CDC-36833                             19
050                  PZV-75529                            179
051                  NWL-28282                            143
052                  LZL-53762                             46
053                  WMD-65834                             47
054                  LZL-53762                            101
055                  NVE-67597                             43
056                  BTG-65524                            193
057                  LZL-53762                             68
058                  NMA-58554                            108
059                  RGZ-73449                            124
060                  ZKV-31415                            103
061                  FNR-28782                             48
062                  SZA-87265                             55
063                  NWL-28282                             14
064                  YBD-67688                            120
065                  TNA-63396                             41
066                  BMN-57337                             81
067                  VWM-74278                             52
068                  TNX-51117                            137
069                  KQA-89952                            153
070                  WQB-83823                            155
071                  XKG-42573                             70
072                  BTN-83953                              4
073                  KLA-57296                            157
074                  SPN-64546                              2
075                  FTD-84699                            174
076                  CDC-36833                            177
077                  HCY-32686                             89
078                  QBZ-39849                             97
079                  GMS-89977                             39
080                  VXR-68924                            172
081                  ZHA-83572                            176
082                  URL-32968                            127
083                  NXD-76943                            183
084                  ZHA-83572                            168
085                  ZHA-83572                            142
086                  XKG-42573                            148
087                  NHP-43928                             60
088                  VWM-74278                            197
089                  QBZ-39849                              6
090                  NVE-67597                             33
091                  BCU-27839                             79
092                  TNX-51117                            156
093                  LNC-68448                             30
094                  VWM-74278                             38
095                  KDV-97563                            133
096                  XBC-95594                            144
097                  NXD-76943                            154
098                  CPU-63784                             82
099                  HNB-76282                            147
100                  TXF-47848                             53
