User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZKV-31415                            162
002                  PWT-38779                             41
003                  KQA-89952                             69
004                  JYL-79355                              3
005                  ZPF-96697                            129
006                  LWR-78574                            192
007                  GBK-45859                             87
008                  NWL-28282                             51
009                  HVX-35287                             46
010                  GBK-45859                             58
011                  LZL-53762                            169
012                  XJQ-35789                             12
013                  TNA-63396                            175
014                  SZA-87265                            141
015                  XJQ-35789                            147
016                  WMD-65834                            179
017                  FTD-84699                            172
018                  SPN-64546                            126
019                  KLA-57296                            112
020                  LNC-68448                            200
021                  DAU-26394                            197
022                  QBZ-39849                            157
023                  PHE-99329                            187
024                  WQB-83823                             33
025                  RLT-57887                             53
026                  DAU-26394                             40
027                  HVX-35287                             34
028                  NXD-76943                            131
029                  WMD-65834                             75
030                  WMD-65834                             82
031                  ANR-65636                            114
032                  NMA-58554                            149
033                  AAV-93236                            103
034                  ZXB-54692                             54
035                  ZHA-83572                            160
036                  HVX-35287                            144
037                  SZA-87265                            142
038                  HCY-32686                             20
039                  AAV-93236                            176
040                  KMP-52243                            152
041                  BTN-83953                            185
042                  EFG-46945                            135
043                  JPJ-26459                             71
044                  LWR-78574                             59
045                  HVX-35287                             92
046                  TNA-63396                            180
047                  PZV-75529                            151
048                  PQJ-67335                             28
049                  VWM-74278                            164
050                  CPU-63784                            196
051                  FNL-93857                             11
052                  TNG-52497                            193
053                  XBC-95594                             55
054                  TNG-52497                            177
055                  SZA-87265                             24
056                  ANR-65636                             94
057                  WQM-46249                            122
058                  XRT-73276                            183
059                  WQB-83823                             65
060                  XRT-73276                            159
061                  KLA-57296                             38
062                  VXR-68924                             91
063                  YMA-56284                            168
064                  EFG-46945                             48
065                  PQJ-67335                            171
066                  YMA-56284                             89
067                  CCG-95482                            105
068                  NWL-28282                              9
069                  JYL-79355                             32
070                  XJQ-35789                              5
071                  KLA-57296                            130
072                  YBD-67688                            156
073                  PZV-75529                             80
074                  NMA-58554                              6
075                  NHP-43928                            154
076                  HVE-32966                             56
077                  BCU-27839                            134
078                  WBB-69295                            124
079                  DAU-26394                             72
080                  VWM-74278                            188
081                  TLT-23593                            110
082                  HCY-32686                             84
083                  VWM-74278                            136
084                  WMD-65834                            128
085                  NVE-67597                             99
086                  TLT-23593                             79
087                  QBZ-39849                            174
088                  HNB-76282                             10
089                  PQJ-67335                            108
090                  FTD-84699                             76
091                  AAV-93236                            181
092                  URL-32968                             88
093                  KDV-97563                            182
094                  NHP-43928                             23
095                  GMS-89977                            161
096                  URL-32968                             64
097                  WQM-46249                             36
098                  HKZ-33728                            199
099                  GZN-34688                            155
100                  HCY-32686                             81
