User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LWR-78574                            187
002                  GBK-45859                            142
003                  HZF-45469                            176
004                  HCY-32686                             15
005                  GUJ-74444                            169
006                  PQJ-67335                            188
007                  NVE-67597                             42
008                  CQS-93978                            167
009                  LNC-68448                            143
010                  PHE-99329                             93
011                  NHP-43928                            125
012                  CDC-36833                             47
013                  ZXB-54692                            181
014                  NHP-43928                             94
015                  DHY-22445                            158
016                  XJQ-35789                             57
017                  YLW-92835                            120
018                  KWH-94256                             60
019                  TNG-52497                             43
020                  TNG-52497                             26
021                  PZV-75529                             39
022                  NXD-76943                            179
023                  KQA-89952                             12
024                  YXL-38878                            156
025                  TNG-52497                            103
026                  WBB-69295                             64
027                  NXD-76943                            163
028                  NHP-43928                            148
029                  AJA-56777                             83
030                  VWM-74278                            171
031                  LZL-53762                            119
032                  HNB-76282                             97
033                  WMD-65834                             73
034                  LNC-68448                            166
035                  JVL-65247                            138
036                  EPX-87469                             52
037                  PZV-75529                             21
038                  FYK-67999                            139
039                  CCG-95482                              9
040                  YLW-92835                             40
041                  NMA-58554                            123
042                  YLW-92835                            185
043                  XKG-42573                              8
044                  NHP-43928                            183
045                  DHY-22445                             55
046                  TLT-23593                             29
047                  CCG-95482                             19
048                  ZXB-54692                             71
049                  TLT-23593                            144
050                  TNX-51117                             84
051                  WMD-65834                            104
052                  KWH-94256                             32
053                  ZKV-31415                            136
054                  YBD-67688                             59
055                  NMA-58554                             70
056                  PZV-75529                            127
057                  TNX-51117                            140
058                  CCG-95482                             37
059                  HVX-35287                            108
060                  SPN-64546                             50
061                  RGZ-73449                             13
062                  TNX-51117                            177
063                  JPJ-26459                            186
064                  NWL-28282                            135
065                  HKZ-33728                            113
066                  KMP-52243                            194
067                  SZA-87265                            116
068                  FNL-93857                            145
069                  PHE-99329                             27
070                  PZV-75529                            111
071                  PWT-38779                            184
072                  CPU-63784                             49
073                  SZA-87265                              3
074                  KLA-57296                            174
075                  NXD-76943                            141
076                  VXR-68924                             45
077                  NVE-67597                            180
078                  GBK-45859                             14
079                  HZF-45469                             20
080                  LNC-68448                            175
081                  GUJ-74444                            190
082                  GMS-89977                            198
083                  GBK-45859                             82
084                  VXR-68924                             80
085                  HVE-32966                             22
086                  HVX-35287                             89
087                  VWM-74278                             86
088                  FNL-93857                            149
089                  NWL-28282                            191
090                  QBD-79865                             87
091                  ZHA-83572                            100
092                  TQC-49936                            131
093                  TQC-49936                            106
094                  KWH-94256                            165
095                  HVX-35287                             78
096                  NXD-76943                             68
097                  PHE-99329                             34
098                  FTD-84699                            178
099                  ZPF-96697                            162
100                  AJA-56777                            182
