User ID: 65101-47245

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FTD-84699                             35
002                  NVE-67597                             15
003                  ZPF-96697                            183
004                  HKZ-33728                             23
005                  KMP-52243                            165
006                  FNL-93857                             26
007                  GMS-89977                            187
008                  JPJ-26459                            126
009                  NVE-67597                            142
010                  XKG-42573                            113
011                  HVX-35287                            122
012                  KMP-52243                            140
013                  FYK-67999                             87
014                  EPX-87469                             81
015                  PWT-38779                             85
016                  TRM-27792                            134
017                  PNF-53949                             71
018                  YLW-92835                            105
019                  JPJ-26459                            128
020                  PQJ-67335                            199
021                  TQC-49936                             91
022                  DAU-26394                            198
023                  PQJ-67335                             25
024                  XBC-95594                            131
025                  NHP-43928                            120
026                  VXR-68924                             58
027                  PWT-38779                             59
028                  NMA-58554                            156
029                  KMP-52243                            188
030                  XKG-42573                             64
031                  YLW-92835                            123
032                  PQJ-67335                             50
033                  CCG-95482                             63
034                  CCG-95482                             11
035                  ZXB-54692                            149
036                  FNR-28782                            129
037                  VWM-74278                            191
038                  DHY-22445                             38
039                  KWH-94256                            103
040                  ZHA-83572                             97
041                  QBZ-39849                             89
042                  VJN-37687                             73
043                  XRT-73276                            163
044                  WQB-83823                             16
045                  TRM-27792                            171
046                  SZA-87265                              5
047                  HCY-32686                            116
048                  BTG-65524                            168
049                  ZPF-96697                            127
050                  ZKV-31415                             27
051                  WMD-65834                            162
052                  FYK-67999                             29
053                  GZN-34688                            153
054                  PZV-75529                             76
055                  WQM-46249                            110
056                  HKZ-33728                             93
057                  URL-32968                            150
058                  WQB-83823                             90
059                  GUJ-74444                             82
060                  WMD-65834                             77
061                  ZPF-96697                            172
062                  ZPF-96697                            132
063                  KDV-97563                            175
064                  PQJ-67335                            115
065                  NWL-28282                            102
066                  AJA-56777                             17
067                  PQJ-67335                             69
068                  URL-32968                            164
069                  NXD-76943                            173
070                  NWL-28282                            182
071                  ZPF-96697                             13
072                  BTG-65524                              7
073                  WBB-69295                            166
074                  TNX-51117                             72
075                  SPN-64546                             62
076                  DAU-26394                             67
077                  TNA-63396                            179
078                  NMA-58554                             31
079                  HCY-32686                             10
080                  RLT-57887                             41
081                  JVL-65247                            108
082                  TQC-49936                            139
083                  YXL-38878                            151
084                  EPX-87469                            144
085                  KMP-52243                              6
086                  TXF-47848                             33
087                  GMS-89977                            118
088                  BMN-57337                             45
089                  VXR-68924                            190
090                  LNC-68448                              1
091                  CDC-36833                             36
092                  HZF-45469                             28
093                  AJA-56777                             47
094                  SZA-87265                              9
095                  YBD-67688                            200
096                  LWR-78574                            143
097                  EFG-46945                             42
098                  EPX-87469                             21
099                  URL-32968                             94
100                  ZKV-31415                            106
