User ID: 84209-46116

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PWT-38779                            104
002                  HCY-32686                            107
003                  AAV-93236                             78
004                  WMD-65834                             30
005                  VJN-37687                            117
006                  FYK-67999                            163
007                  HZF-45469                            147
008                  XBC-95594                             26
009                  XKG-42573                             47
010                  FNR-28782                            101
011                  PQJ-67335                            132
012                  CPU-63784                             41
013                  DAU-26394                            116
014                  BTG-65524                            114
015                  RGZ-73449                            186
016                  AAV-93236                             82
017                  FNR-28782                             48
018                  GMS-89977                             95
019                  ZXB-54692                            184
020                  LWR-78574                            146
021                  NVE-67597                              8
022                  PZV-75529                             76
023                  NVE-67597                             33
024                  YBD-67688                            199
025                  CQS-93978                            193
026                  XKG-42573                             94
027                  WBB-69295                             91
028                  DAU-26394                             69
029                  FNR-28782                             79
030                  HCY-32686                            115
031                  QBD-79865                             28
032                  URL-32968                             11
033                  TNX-51117                            162
034                  TNX-51117                             21
035                  HKZ-33728                            194
036                  HZF-45469                            156
037                  HNB-76282                            123
038                  FYK-67999                             15
039                  HNB-76282                            106
040                  FNL-93857                            143
041                  FYK-67999                            103
042                  VXR-68924                            122
043                  YLW-92835                             54
044                  NHP-43928                            131
045                  GZN-34688                             80
046                  NWL-28282                             96
047                  TQC-49936                              6
048                  ZXB-54692                            128
049                  WBB-69295                            157
050                  TNX-51117                             72
051                  DAU-26394                            196
052                  NMA-58554                             49
053                  BTN-83953                            165
054                  YMA-56284                            167
055                  LNC-68448                            111
056                  PHE-99329                            174
057                  FTD-84699                            135
058                  TNX-51117                            100
059                  JVL-65247                            173
060                  CQS-93978                            149
061                  TNX-51117                            127
062                  LNC-68448                            126
063                  NXD-76943                             38
064                  FTD-84699                             90
065                  PNF-53949                             22
066                  YXL-38878                            109
067                  GUJ-74444                            133
068                  HVX-35287                             29
069                  URL-32968                             61
070                  HVE-32966                            166
071                  XBC-95594                             68
072                  QBZ-39849                             65
073                  WMD-65834                            187
074                  NHP-43928                              2
075                  AJA-56777                            182
076                  YMA-56284                            180
077                  TXF-47848                            139
078                  FNR-28782                             17
079                  LZL-53762                            121
080                  GZN-34688                            105
081                  EFG-46945                              3
082                  WMD-65834                            158
083                  TXF-47848                            151
084                  WQM-46249                             40
085                  NHP-43928                              4
086                  TNA-63396                            112
087                  AJA-56777                             87
088                  ANR-65636                             42
089                  XJQ-35789                             32
090                  JYL-79355                             67
091                  KWH-94256                            188
092                  PZV-75529                             45
093                  EPX-87469                            172
094                  TQC-49936                            161
095                  KLA-57296                             34
096                  YXL-38878                            129
097                  WQB-83823                            179
098                  VXR-68924                            134
099                  XJQ-35789                             12
100                  RGZ-73449                             86
