User ID: 93445-12424

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RGZ-73449                             93
002                  ZKV-31415                            190
003                  QBD-79865                             41
004                  GZN-34688                             47
005                  CDC-36833                             65
006                  URL-32968                             38
007                  NVE-67597                             99
008                  HNB-76282                             62
009                  CDC-36833                             56
010                  PZV-75529                             55
011                  HKZ-33728                            192
012                  EFG-46945                            199
013                  FNL-93857                            181
014                  TRM-27792                            159
015                  RGZ-73449                             12
016                  YMA-56284                             13
017                  YLW-92835                            165
018                  XRT-73276                            133
019                  ZPF-96697                             74
020                  RGZ-73449                             60
021                  QBZ-39849                            164
022                  NXD-76943                              8
023                  BTN-83953                             26
024                  JVL-65247                            134
025                  JPJ-26459                            191
026                  CPU-63784                             10
027                  TLT-23593                            122
028                  ZKV-31415                             35
029                  FNR-28782                            170
030                  KWH-94256                            150
031                  KLA-57296                            139
032                  EFG-46945                            105
033                  XKG-42573                            142
034                  BMN-57337                            200
035                  TRM-27792                            151
036                  KLA-57296                            136
037                  QBZ-39849                             44
038                  WBB-69295                             87
039                  CDC-36833                            193
040                  YXL-38878                             46
041                  ZXB-54692                            132
042                  TXF-47848                             28
043                  LNC-68448                            160
044                  FYK-67999                            141
045                  ZPF-96697                            123
046                  EFG-46945                            188
047                  GBK-45859                            177
048                  PNF-53949                             22
049                  KQA-89952                            112
050                  JYL-79355                            161
051                  XJQ-35789                             70
052                  KMP-52243                             25
053                  ZPF-96697                             51
054                  CCG-95482                            172
055                  PWT-38779                            153
056                  TLT-23593                             33
057                  LNC-68448                             45
058                  XKG-42573                             71
059                  WQB-83823                            186
060                  CPU-63784                             69
061                  CDC-36833                            147
062                  NWL-28282                              3
063                  SZA-87265                            174
064                  BTN-83953                            155
065                  ZKV-31415                            129
066                  QBZ-39849                            124
067                  ZPF-96697                            143
068                  TRM-27792                            109
069                  FNR-28782                              1
070                  PQJ-67335                             83
071                  ZHA-83572                            138
072                  FNR-28782                            144
073                  YBD-67688                            152
074                  PZV-75529                            185
075                  TRM-27792                             40
076                  PQJ-67335                            176
077                  PZV-75529                            131
078                  ZKV-31415                             42
079                  JPJ-26459                             86
080                  FTD-84699                             57
081                  ZKV-31415                            104
082                  XRT-73276                             53
083                  NXD-76943                            117
084                  CPU-63784                            168
085                  WQB-83823                            175
086                  ANR-65636                            107
087                  NHP-43928                            196
088                  XRT-73276                            100
089                  BMN-57337                            116
090                  YBD-67688                            115
091                  KQA-89952                             76
092                  HKZ-33728                             75
093                  YXL-38878                            148
094                  EPX-87469                             84
095                  URL-32968                             20
096                  NMA-58554                            179
097                  HKZ-33728                             24
098                  GMS-89977                            113
099                  WQB-83823                             79
100                  HVX-35287                             48
