User ID: 44845-88216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BMN-57337                            195
002                  GMS-89977                            186
003                  CCG-95482                            170
004                  HKZ-33728                            160
005                  URL-32968                            191
006                  QBD-79865                             31
007                  FNL-93857                             71
008                  XRT-73276                            185
009                  PWT-38779                            146
010                  JPJ-26459                            113
011                  HNB-76282                             88
012                  LNC-68448                            196
013                  KQA-89952                            175
014                  HKZ-33728                            122
015                  NWL-28282                            143
016                  YLW-92835                            178
017                  BTG-65524                            115
018                  URL-32968                             29
019                  CCG-95482                              2
020                  YBD-67688                             59
021                  HNB-76282                             34
022                  BTG-65524                            190
023                  URL-32968                             95
024                  HZF-45469                             89
025                  EFG-46945                             93
026                  XBC-95594                             30
027                  PWT-38779                            111
028                  DHY-22445                            150
029                  DAU-26394                            200
030                  HKZ-33728                             35
031                  DAU-26394                             97
032                  KLA-57296                             65
033                  JVL-65247                            176
034                  TXF-47848                             80
035                  KDV-97563                             72
036                  KWH-94256                             21
037                  NMA-58554                            192
038                  CPU-63784                            124
039                  BCU-27839                            149
040                  YMA-56284                             49
041                  YLW-92835                             78
042                  TNX-51117                             11
043                  FYK-67999                            164
044                  LZL-53762                            147
045                  AAV-93236                             84
046                  ZXB-54692                             24
047                  GUJ-74444                            184
048                  KWH-94256                            137
049                  HKZ-33728                            129
050                  NMA-58554                             66
051                  AJA-56777                            133
052                  KLA-57296                            180
053                  NXD-76943                             63
054                  CQS-93978                             12
055                  ZHA-83572                            174
056                  JYL-79355                            197
057                  KLA-57296                             25
058                  HVX-35287                            114
059                  KDV-97563                            183
060                  SPN-64546                            140
061                  WQM-46249                            135
062                  YBD-67688                            123
063                  AJA-56777                             15
064                  VWM-74278                            155
065                  TNX-51117                            144
066                  LZL-53762                             68
067                  XBC-95594                             39
068                  JYL-79355                             16
069                  RLT-57887                             70
070                  YXL-38878                             85
071                  WQB-83823                             32
072                  NHP-43928                            188
073                  TRM-27792                            182
074                  ZKV-31415                            139
075                  YBD-67688                            131
076                  AAV-93236                            158
077                  KLA-57296                             45
078                  QBZ-39849                              4
079                  LWR-78574                              6
080                  TRM-27792                             73
081                  LZL-53762                            159
082                  VWM-74278                            169
083                  WQM-46249                            126
084                  JYL-79355                            167
085                  EFG-46945                             53
086                  GMS-89977                            193
087                  HCY-32686                             46
088                  ZPF-96697                            145
089                  VWM-74278                             23
090                  KLA-57296                             47
091                  WQM-46249                            162
092                  TRM-27792                             67
093                  VJN-37687                              9
094                  EPX-87469                             99
095                  TRM-27792                            109
096                  CDC-36833                             17
097                  ANR-65636                             37
098                  YXL-38878                             81
099                  AAV-93236                            130
100                  VXR-68924                              7
