User ID: 68589-74799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                            186
002                  BTG-65524                            129
003                  VJN-37687                            138
004                  BTG-65524                            199
005                  YLW-92835                            160
006                  CPU-63784                             30
007                  WMD-65834                             54
008                  SZA-87265                             87
009                  TNX-51117                            184
010                  NWL-28282                            198
011                  KDV-97563                            133
012                  FNR-28782                             70
013                  DAU-26394                            134
014                  XBC-95594                            115
015                  TNA-63396                            100
016                  LWR-78574                            135
017                  NWL-28282                             47
018                  FNL-93857                            113
019                  HVX-35287                            139
020                  ZKV-31415                             41
021                  JYL-79355                            146
022                  PNF-53949                            119
023                  ZHA-83572                             89
024                  TRM-27792                            177
025                  DHY-22445                             98
026                  LNC-68448                            164
027                  VWM-74278                            169
028                  WQB-83823                             19
029                  ZHA-83572                             75
030                  WQB-83823                            123
031                  WBB-69295                             49
032                  CCG-95482                             96
033                  KMP-52243                              4
034                  XKG-42573                             85
035                  WQB-83823                            106
036                  KDV-97563                            200
037                  XRT-73276                             27
038                  KWH-94256                            141
039                  FTD-84699                             15
040                  DAU-26394                            153
041                  WQB-83823                             33
042                  WMD-65834                              9
043                  VXR-68924                             93
044                  WQM-46249                            110
045                  PNF-53949                            137
046                  FYK-67999                             80
047                  HCY-32686                            195
048                  JPJ-26459                            126
049                  XKG-42573                            179
050                  JYL-79355                             73
051                  TNG-52497                             77
052                  AAV-93236                             71
053                  HKZ-33728                             35
054                  WMD-65834                            165
055                  LNC-68448                             63
056                  XKG-42573                            101
057                  ANR-65636                            120
058                  WQB-83823                            143
059                  ANR-65636                             52
060                  TLT-23593                             69
061                  BCU-27839                            121
062                  RGZ-73449                             20
063                  HVE-32966                             25
064                  XKG-42573                             65
065                  YXL-38878                            194
066                  ZPF-96697                            172
067                  ZKV-31415                            116
068                  YLW-92835                            181
069                  YMA-56284                            104
070                  BTN-83953                            157
071                  WBB-69295                            168
072                  PNF-53949                            125
073                  WQB-83823                             38
074                  TNA-63396                             84
075                  JPJ-26459                             79
076                  VXR-68924                            111
077                  YXL-38878                              8
078                  YMA-56284                             78
079                  DHY-22445                            183
080                  FNR-28782                            174
081                  ZPF-96697                            147
082                  VJN-37687                            193
083                  VXR-68924                             76
084                  JVL-65247                            175
085                  URL-32968                            124
086                  NHP-43928                            149
087                  TRM-27792                            185
088                  EFG-46945                            127
089                  YLW-92835                             26
090                  ZPF-96697                            159
091                  RLT-57887                             53
092                  TNG-52497                            118
093                  PWT-38779                             14
094                  SZA-87265                             64
095                  CDC-36833                            131
096                  LNC-68448                            122
097                  CDC-36833                              6
098                  AAV-93236                            190
099                  TRM-27792                            171
100                  EPX-87469                            130
