User ID: 39210-49975

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XJQ-35789                            101
002                  YBD-67688                             42
003                  TXF-47848                            174
004                  JVL-65247                            188
005                  YXL-38878                             61
006                  GBK-45859                             86
007                  LZL-53762                            119
008                  HCY-32686                              7
009                  HKZ-33728                            171
010                  LWR-78574                            134
011                  HVE-32966                            149
012                  XJQ-35789                            148
013                  JYL-79355                             93
014                  VJN-37687                             81
015                  CPU-63784                             38
016                  YXL-38878                             99
017                  XKG-42573                             54
018                  NMA-58554                             39
019                  ZHA-83572                              2
020                  ZPF-96697                             19
021                  PNF-53949                            173
022                  CDC-36833                             28
023                  WQB-83823                             36
024                  NWL-28282                             30
025                  ANR-65636                            137
026                  YLW-92835                             12
027                  PHE-99329                             14
028                  LZL-53762                             84
029                  WQB-83823                            120
030                  HZF-45469                            186
031                  VJN-37687                             96
032                  HNB-76282                            199
033                  EFG-46945                             32
034                  SPN-64546                            124
035                  KQA-89952                            146
036                  CDC-36833                            111
037                  XKG-42573                            160
038                  TNX-51117                             69
039                  KWH-94256                            138
040                  NHP-43928                            200
041                  VXR-68924                            172
042                  FYK-67999                             51
043                  XBC-95594                             11
044                  YLW-92835                              3
045                  LWR-78574                             79
046                  BTG-65524                             47
047                  KDV-97563                             18
048                  SPN-64546                            195
049                  CCG-95482                              8
050                  DHY-22445                             66
051                  YXL-38878                            176
052                  NHP-43928                            169
053                  EFG-46945                            168
054                  SZA-87265                             23
055                  WBB-69295                            152
056                  FNR-28782                             63
057                  HVX-35287                             49
058                  HNB-76282                            158
059                  TLT-23593                             67
060                  KMP-52243                            139
061                  GUJ-74444                             24
062                  TXF-47848                            136
063                  AAV-93236                             33
064                  NMA-58554                            100
065                  WQB-83823                             62
066                  NHP-43928                            114
067                  BCU-27839                            113
068                  AAV-93236                             95
069                  YXL-38878                            144
070                  EPX-87469                             91
071                  NHP-43928                             59
072                  DAU-26394                            147
073                  WQB-83823                            185
074                  CQS-93978                            191
075                  SPN-64546                             27
076                  TNG-52497                            118
077                  VJN-37687                             25
078                  LZL-53762                             88
079                  VJN-37687                             41
080                  EPX-87469                            140
081                  EPX-87469                             60
082                  HVX-35287                            129
083                  DAU-26394                            187
084                  FTD-84699                             40
085                  AAV-93236                             72
086                  WQM-46249                             22
087                  CCG-95482                             80
088                  LNC-68448                            132
089                  SZA-87265                             83
090                  SZA-87265                            157
091                  XRT-73276                             87
092                  FNR-28782                            150
093                  PZV-75529                             48
094                  CDC-36833                            109
095                  EFG-46945                              9
096                  QBZ-39849                            105
097                  FNL-93857                             82
098                  GUJ-74444                             50
099                  SPN-64546                            151
100                  SPN-64546                            156
