User ID: 09312-94888

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SPN-64546                            100
002                  FYK-67999                             72
003                  VXR-68924                             32
004                  GUJ-74444                            176
005                  FNR-28782                            193
006                  YLW-92835                            148
007                  QBD-79865                             30
008                  ZXB-54692                             60
009                  GZN-34688                            141
010                  TNA-63396                             51
011                  GBK-45859                            154
012                  XKG-42573                            186
013                  HVE-32966                             69
014                  YBD-67688                             46
015                  NXD-76943                            166
016                  HVX-35287                             77
017                  TXF-47848                            106
018                  TNG-52497                            138
019                  WQM-46249                            197
020                  VJN-37687                              7
021                  TXF-47848                            153
022                  AAV-93236                            122
023                  YBD-67688                             57
024                  AAV-93236                            117
025                  URL-32968                            181
026                  QBZ-39849                            132
027                  TLT-23593                             27
028                  KWH-94256                            131
029                  VWM-74278                              2
030                  GUJ-74444                            123
031                  FTD-84699                             86
032                  ANR-65636                            152
033                  LWR-78574                            177
034                  VWM-74278                             13
035                  BTN-83953                             99
036                  CDC-36833                            175
037                  AJA-56777                             47
038                  BTG-65524                            127
039                  PQJ-67335                            196
040                  JVL-65247                            108
041                  PNF-53949                             81
042                  TNA-63396                             26
043                  PWT-38779                             21
044                  KMP-52243                            164
045                  WBB-69295                             82
046                  RGZ-73449                            116
047                  NVE-67597                            167
048                  ZPF-96697                            187
049                  BCU-27839                            184
050                  GBK-45859                            111
051                  QBD-79865                            171
052                  YXL-38878                            151
053                  YXL-38878                              1
054                  DHY-22445                             23
055                  XJQ-35789                            160
056                  HKZ-33728                             16
057                  FNL-93857                            130
058                  TNA-63396                             35
059                  KLA-57296                            126
060                  PZV-75529                            173
061                  BTG-65524                             74
062                  NHP-43928                            185
063                  ZXB-54692                            135
064                  DAU-26394                            199
065                  TNA-63396                            102
066                  EFG-46945                             45
067                  FNL-93857                            109
068                  PZV-75529                             80
069                  FNL-93857                            161
070                  TXF-47848                             91
071                  ZHA-83572                            112
072                  DAU-26394                            113
073                  KWH-94256                              4
074                  HNB-76282                            101
075                  BTN-83953                             28
076                  WMD-65834                             98
077                  TLT-23593                             18
078                  NVE-67597                             68
079                  FTD-84699                             11
080                  YXL-38878                             78
081                  HCY-32686                            190
082                  KLA-57296                            105
083                  DAU-26394                            194
084                  KDV-97563                             96
085                  KMP-52243                            157
086                  FYK-67999                            145
087                  RGZ-73449                            146
088                  GZN-34688                             64
089                  HCY-32686                             42
090                  HNB-76282                            178
091                  KQA-89952                             25
092                  GUJ-74444                            156
093                  NXD-76943                             12
094                  JVL-65247                             55
095                  PWT-38779                            159
096                  YLW-92835                            165
097                  YXL-38878                            118
098                  BTN-83953                            119
099                  ZKV-31415                            140
100                  NVE-67597                            121
