User ID: 04025-42834

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                             74
002                  XRT-73276                             12
003                  WQB-83823                            134
004                  EFG-46945                             87
005                  JPJ-26459                            140
006                  CDC-36833                            104
007                  YLW-92835                              4
008                  AJA-56777                            110
009                  KQA-89952                             47
010                  HNB-76282                             19
011                  URL-32968                             10
012                  XJQ-35789                             62
013                  VWM-74278                            195
014                  YBD-67688                             27
015                  LWR-78574                            114
016                  HCY-32686                            124
017                  RGZ-73449                            119
018                  NVE-67597                             46
019                  NXD-76943                              3
020                  URL-32968                            106
021                  BTN-83953                            122
022                  KQA-89952                             76
023                  YLW-92835                             66
024                  HVX-35287                            132
025                  QBZ-39849                            169
026                  WMD-65834                             29
027                  TRM-27792                            160
028                  JYL-79355                            128
029                  CPU-63784                             34
030                  YMA-56284                            182
031                  HVE-32966                            144
032                  WBB-69295                             82
033                  NXD-76943                            178
034                  EPX-87469                            108
035                  WQB-83823                            117
036                  TQC-49936                            156
037                  PQJ-67335                            142
038                  TLT-23593                             13
039                  FNR-28782                            152
040                  TQC-49936                            177
041                  LZL-53762                              9
042                  KQA-89952                             73
043                  RGZ-73449                            173
044                  NHP-43928                             80
045                  AAV-93236                            103
046                  HCY-32686                            166
047                  ZXB-54692                            101
048                  TNX-51117                             70
049                  NXD-76943                             23
050                  XBC-95594                             88
051                  RLT-57887                             99
052                  TXF-47848                            193
053                  PHE-99329                             81
054                  KLA-57296                             24
055                  ZKV-31415                             22
056                  DAU-26394                             57
057                  KMP-52243                             42
058                  WMD-65834                             68
059                  DAU-26394                            172
060                  JPJ-26459                            135
061                  CDC-36833                             33
062                  NWL-28282                             59
063                  NMA-58554                             64
064                  HCY-32686                             65
065                  KWH-94256                              6
066                  FYK-67999                             83
067                  PZV-75529                             44
068                  KQA-89952                            130
069                  GMS-89977                             18
070                  TQC-49936                            174
071                  EPX-87469                            138
072                  TNA-63396                             69
073                  EPX-87469                            118
074                  TRM-27792                            171
075                  JPJ-26459                            198
076                  HZF-45469                            133
077                  JYL-79355                             16
078                  YXL-38878                            183
079                  VWM-74278                            192
080                  KDV-97563                             30
081                  HCY-32686                            179
082                  HZF-45469                             51
083                  HVE-32966                             52
084                  QBD-79865                             95
085                  NHP-43928                             17
086                  FNL-93857                             37
087                  FTD-84699                              7
088                  WQB-83823                            194
089                  JPJ-26459                             14
090                  HNB-76282                            123
091                  NWL-28282                            111
092                  NXD-76943                             61
093                  FNL-93857                             40
094                  WBB-69295                            137
095                  BCU-27839                             92
096                  ZHA-83572                             97
097                  NMA-58554                            189
098                  KLA-57296                              1
099                  HCY-32686                            165
100                  QBD-79865                             28
