User ID: 82124-28153

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                             51
002                  TLT-23593                            132
003                  YMA-56284                            157
004                  SZA-87265                              8
005                  DAU-26394                            190
006                  WMD-65834                            110
007                  BTG-65524                             71
008                  TLT-23593                             30
009                  SPN-64546                             54
010                  PHE-99329                             43
011                  ZPF-96697                            155
012                  QBD-79865                             68
013                  VJN-37687                             12
014                  EFG-46945                             91
015                  XBC-95594                             90
016                  AJA-56777                            135
017                  ZKV-31415                            159
018                  ZKV-31415                             64
019                  YLW-92835                            133
020                  SPN-64546                            171
021                  ANR-65636                            151
022                  JPJ-26459                            148
023                  HNB-76282                            120
024                  BTG-65524                            161
025                  HCY-32686                             72
026                  XRT-73276                             40
027                  JYL-79355                            112
028                  DAU-26394                            189
029                  DHY-22445                             50
030                  TQC-49936                            116
031                  KDV-97563                            179
032                  LWR-78574                             28
033                  AAV-93236                            136
034                  BTG-65524                            121
035                  JVL-65247                             58
036                  NMA-58554                            106
037                  QBZ-39849                             79
038                  TNX-51117                            184
039                  GZN-34688                            170
040                  ZXB-54692                             66
041                  EPX-87469                             34
042                  HVX-35287                             24
043                  BTN-83953                            172
044                  TNG-52497                            141
045                  FTD-84699                             41
046                  HVE-32966                              3
047                  LWR-78574                            200
048                  CPU-63784                            165
049                  GBK-45859                             87
050                  KWH-94256                            103
051                  EPX-87469                            153
052                  KQA-89952                             37
053                  URL-32968                             89
054                  HVE-32966                            137
055                  NWL-28282                             10
056                  TRM-27792                             23
057                  PWT-38779                             96
058                  XRT-73276                             82
059                  GBK-45859                             48
060                  URL-32968                             94
061                  YXL-38878                            181
062                  GUJ-74444                             86
063                  URL-32968                            198
064                  TNA-63396                             63
065                  NVE-67597                             15
066                  TNX-51117                            150
067                  BCU-27839                             49
068                  ZXB-54692                            182
069                  FNR-28782                             99
070                  NVE-67597                             31
071                  WMD-65834                              9
072                  KWH-94256                             70
073                  ANR-65636                            129
074                  LNC-68448                             26
075                  ANR-65636                            176
076                  PQJ-67335                            130
077                  NMA-58554                             80
078                  XBC-95594                            166
079                  YLW-92835                            174
080                  XKG-42573                            186
081                  YMA-56284                              6
082                  HKZ-33728                            101
083                  URL-32968                            187
084                  TNA-63396                            185
085                  YMA-56284                             56
086                  QBD-79865                             62
087                  CDC-36833                             97
088                  NMA-58554                             42
089                  XBC-95594                            146
090                  JYL-79355                            122
091                  SZA-87265                             53
092                  TNG-52497                             74
093                  NXD-76943                            162
094                  RLT-57887                            164
095                  LNC-68448                             27
096                  NVE-67597                             83
097                  HVE-32966                             35
098                  ZKV-31415                             98
099                  PWT-38779                            147
100                  KLA-57296                             20
