User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GUJ-74444                             33
002                  HZF-45469                              2
003                  YXL-38878                             56
004                  GUJ-74444                            173
005                  QBZ-39849                             63
006                  KLA-57296                             23
007                  NVE-67597                              7
008                  RGZ-73449                            189
009                  TXF-47848                            121
010                  YLW-92835                            105
011                  NWL-28282                             41
012                  KWH-94256                            178
013                  JVL-65247                            158
014                  YXL-38878                            124
015                  KDV-97563                            106
016                  JYL-79355                             59
017                  SPN-64546                             24
018                  LZL-53762                             87
019                  YLW-92835                             54
020                  LWR-78574                             77
021                  AJA-56777                             36
022                  PWT-38779                             97
023                  HZF-45469                            137
024                  AAV-93236                            170
025                  EPX-87469                            183
026                  LWR-78574                            125
027                  FTD-84699                            115
028                  FNR-28782                              9
029                  ZHA-83572                            193
030                  YMA-56284                            166
031                  WQM-46249                            148
032                  FNR-28782                             58
033                  FYK-67999                             67
034                  DAU-26394                             32
035                  HCY-32686                            136
036                  GMS-89977                            129
037                  WMD-65834                              3
038                  RLT-57887                             65
039                  HVE-32966                             46
040                  VWM-74278                             27
041                  NXD-76943                            140
042                  JYL-79355                            141
043                  VJN-37687                            111
044                  XJQ-35789                            182
045                  TNX-51117                            101
046                  XRT-73276                            107
047                  HKZ-33728                             35
048                  KLA-57296                            187
049                  NVE-67597                             57
050                  XKG-42573                             68
051                  KWH-94256                            162
052                  JPJ-26459                              1
053                  ZXB-54692                            139
054                  TNX-51117                             72
055                  KMP-52243                            102
056                  KQA-89952                             25
057                  HVE-32966                            128
058                  DHY-22445                             26
059                  SPN-64546                             40
060                  HVX-35287                            131
061                  EFG-46945                            156
062                  XRT-73276                            198
063                  DAU-26394                            174
064                  WBB-69295                             13
065                  SZA-87265                            133
066                  PWT-38779                            144
067                  BMN-57337                            161
068                  NHP-43928                            108
069                  ZXB-54692                            175
070                  XRT-73276                             62
071                  VWM-74278                             66
072                  SZA-87265                            118
073                  VXR-68924                            130
074                  KDV-97563                            176
075                  WMD-65834                            167
076                  TQC-49936                            164
077                  ZHA-83572                            113
078                  KDV-97563                            195
079                  CCG-95482                             12
080                  NHP-43928                            150
081                  WQB-83823                             34
082                  NMA-58554                             81
083                  GBK-45859                             99
084                  JYL-79355                             39
085                  CDC-36833                             19
086                  VWM-74278                            114
087                  AJA-56777                             21
088                  TRM-27792                            151
089                  HZF-45469                             45
090                  CDC-36833                            142
091                  GMS-89977                             50
092                  KLA-57296                             98
093                  ZXB-54692                              8
094                  RGZ-73449                             88
095                  NMA-58554                            147
096                  BCU-27839                            138
097                  JYL-79355                            104
098                  TNX-51117                             64
099                  KWH-94256                             60
100                  TNX-51117                            146
