User ID: 66552-00795

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VXR-68924                             79
002                  BTG-65524                            126
003                  EPX-87469                            134
004                  TLT-23593                            151
005                  ZKV-31415                             27
006                  TRM-27792                             83
007                  PHE-99329                             78
008                  YXL-38878                             49
009                  VJN-37687                            182
010                  GMS-89977                            190
011                  JPJ-26459                            109
012                  NWL-28282                            175
013                  TLT-23593                             73
014                  WQM-46249                             82
015                  XRT-73276                             21
016                  CPU-63784                             38
017                  HNB-76282                            164
018                  VWM-74278                            143
019                  XBC-95594                            160
020                  KQA-89952                             11
021                  NXD-76943                            161
022                  KMP-52243                            162
023                  JYL-79355                             70
024                  YLW-92835                            163
025                  JYL-79355                             56
026                  KWH-94256                              5
027                  HNB-76282                             33
028                  AJA-56777                            188
029                  BMN-57337                             64
030                  NVE-67597                            136
031                  PWT-38779                            159
032                  WBB-69295                             91
033                  SPN-64546                             12
034                  ZKV-31415                            103
035                  NXD-76943                             28
036                  NHP-43928                             16
037                  HVE-32966                             89
038                  GUJ-74444                            142
039                  TQC-49936                             66
040                  GBK-45859                             24
041                  NHP-43928                             59
042                  GZN-34688                             34
043                  FNL-93857                            179
044                  HVE-32966                             60
045                  GBK-45859                             31
046                  TRM-27792                             15
047                  BTN-83953                             80
048                  KDV-97563                              7
049                  HVX-35287                             23
050                  ZHA-83572                            121
051                  EFG-46945                            196
052                  KQA-89952                            176
053                  BTN-83953                            115
054                  BMN-57337                            118
055                  ZKV-31415                             47
056                  BCU-27839                             37
057                  FYK-67999                            173
058                  JVL-65247                              4
059                  PWT-38779                            146
060                  PNF-53949                             26
061                  JYL-79355                            197
062                  WQB-83823                            141
063                  YLW-92835                             61
064                  DAU-26394                             96
065                  GMS-89977                             39
066                  KWH-94256                            110
067                  TNA-63396                             29
068                  XKG-42573                            120
069                  ZKV-31415                             19
070                  LWR-78574                            104
071                  TQC-49936                            119
072                  SZA-87265                             54
073                  XKG-42573                            158
074                  PHE-99329                            139
075                  BCU-27839                            113
076                  JYL-79355                             14
077                  CPU-63784                            140
078                  LWR-78574                            169
079                  NWL-28282                            130
080                  SPN-64546                             58
081                  NXD-76943                            186
082                  KMP-52243                             94
083                  SPN-64546                            187
084                  JPJ-26459                             90
085                  HVE-32966                            108
086                  FTD-84699                            153
087                  VJN-37687                            189
088                  HVX-35287                             63
089                  KMP-52243                            181
090                  QBZ-39849                             55
091                  AAV-93236                            123
092                  PZV-75529                             44
093                  EFG-46945                            117
094                  KLA-57296                            191
095                  HKZ-33728                              2
096                  JYL-79355                             53
097                  KWH-94256                            171
098                  AJA-56777                             84
099                  VWM-74278                            172
100                  PQJ-67335                             81
