User ID: 18118-03371

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YXL-38878                             57
002                  GZN-34688                            124
003                  NXD-76943                             27
004                  LZL-53762                             31
005                  XBC-95594                            133
006                  PQJ-67335                             98
007                  HNB-76282                             10
008                  YMA-56284                             45
009                  JYL-79355                             77
010                  YBD-67688                            170
011                  DAU-26394                             52
012                  TNX-51117                             86
013                  WBB-69295                             32
014                  GMS-89977                             56
015                  SZA-87265                             68
016                  EFG-46945                            105
017                  JVL-65247                            100
018                  FNR-28782                            125
019                  XRT-73276                             43
020                  ANR-65636                            103
021                  TQC-49936                             88
022                  TQC-49936                            165
023                  VWM-74278                             47
024                  WBB-69295                             19
025                  HVE-32966                            113
026                  FNR-28782                            153
027                  CQS-93978                             87
028                  FNR-28782                            116
029                  JYL-79355                            198
030                  NXD-76943                            138
031                  EFG-46945                            121
032                  WBB-69295                            136
033                  ZKV-31415                             22
034                  URL-32968                            119
035                  FNR-28782                            150
036                  AAV-93236                            145
037                  FYK-67999                             50
038                  TLT-23593                            126
039                  NHP-43928                            135
040                  BMN-57337                            167
041                  HKZ-33728                            163
042                  TQC-49936                             23
043                  ZPF-96697                            194
044                  TNG-52497                             29
045                  EFG-46945                            173
046                  NVE-67597                            106
047                  LZL-53762                             34
048                  PHE-99329                             36
049                  ZXB-54692                             71
050                  TNX-51117                            187
051                  DHY-22445                             61
052                  BMN-57337                            179
053                  ZXB-54692                             76
054                  TNG-52497                             60
055                  BMN-57337                             49
056                  FTD-84699                            168
057                  KLA-57296                             26
058                  HVE-32966                             93
059                  GBK-45859                            158
060                  WQB-83823                            132
061                  PWT-38779                            123
062                  ANR-65636                            191
063                  HZF-45469                             41
064                  GBK-45859                             63
065                  JYL-79355                             28
066                  BMN-57337                            134
067                  HVE-32966                             94
068                  NHP-43928                            182
069                  CPU-63784                             79
070                  PHE-99329                            115
071                  HZF-45469                            146
072                  XJQ-35789                             11
073                  JYL-79355                            141
074                  WQM-46249                            104
075                  HKZ-33728                             48
076                  QBZ-39849                            130
077                  TNG-52497                            120
078                  DHY-22445                            108
079                  CDC-36833                             20
080                  HNB-76282                             39
081                  RGZ-73449                            195
082                  WMD-65834                             17
083                  PQJ-67335                            107
084                  JPJ-26459                            149
085                  EPX-87469                            157
086                  XBC-95594                              4
087                  JYL-79355                             21
088                  TQC-49936                             81
089                  JYL-79355                            147
090                  WBB-69295                            186
091                  KDV-97563                             73
092                  CCG-95482                             95
093                  NMA-58554                              6
094                  TNA-63396                             97
095                  EPX-87469                             13
096                  URL-32968                             62
097                  JPJ-26459                             30
098                  TXF-47848                            129
099                  BMN-57337                            111
100                  TLT-23593                             54
