User ID: 04025-42834

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNL-93857                             11
002                  KQA-89952                             76
003                  JVL-65247                            168
004                  CQS-93978                             66
005                  LNC-68448                             52
006                  BTG-65524                            199
007                  TQC-49936                             99
008                  TQC-49936                            128
009                  VWM-74278                            134
010                  ZXB-54692                             80
011                  EPX-87469                            137
012                  HVX-35287                             40
013                  KWH-94256                            183
014                  ZPF-96697                             78
015                  BMN-57337                             49
016                  TRM-27792                            107
017                  BTG-65524                             64
018                  KLA-57296                             61
019                  HZF-45469                            102
020                  FTD-84699                            147
021                  URL-32968                            174
022                  GUJ-74444                             26
023                  GZN-34688                             48
024                  DHY-22445                            175
025                  LNC-68448                             12
026                  HVE-32966                            132
027                  RGZ-73449                             47
028                  BTG-65524                             22
029                  QBZ-39849                            165
030                  XJQ-35789                            112
031                  NWL-28282                            198
032                  WBB-69295                             59
033                  NVE-67597                            119
034                  BCU-27839                            191
035                  CQS-93978                            124
036                  CPU-63784                            176
037                  TNA-63396                            169
038                  SPN-64546                            161
039                  KQA-89952                              8
040                  GBK-45859                              5
041                  YXL-38878                             35
042                  BMN-57337                            139
043                  DAU-26394                             16
044                  ZHA-83572                             50
045                  GBK-45859                            187
046                  XRT-73276                            101
047                  GZN-34688                             87
048                  TQC-49936                            195
049                  PHE-99329                             33
050                  NHP-43928                            172
051                  ZHA-83572                             98
052                  LZL-53762                            120
053                  TNA-63396                            196
054                  WQM-46249                             55
055                  HKZ-33728                            193
056                  JPJ-26459                            126
057                  NHP-43928                             14
058                  HKZ-33728                             60
059                  TRM-27792                             91
060                  BMN-57337                            190
061                  JVL-65247                             85
062                  ZKV-31415                            140
063                  EPX-87469                             56
064                  TNG-52497                              1
065                  YBD-67688                             43
066                  ZPF-96697                             42
067                  YBD-67688                             27
068                  HVE-32966                            166
069                  FNR-28782                            135
070                  BTG-65524                            127
071                  NMA-58554                            118
072                  TQC-49936                             96
073                  PNF-53949                             88
074                  LZL-53762                             69
075                  FTD-84699                             45
076                  NVE-67597                             93
077                  CCG-95482                            197
078                  TLT-23593                            181
079                  KQA-89952                            171
080                  VWM-74278                             84
081                  AJA-56777                              6
082                  BTG-65524                            123
083                  TRM-27792                              3
084                  HCY-32686                            148
085                  FNL-93857                            155
086                  TLT-23593                             24
087                  BTG-65524                             10
088                  JYL-79355                            111
089                  TLT-23593                            105
090                  LWR-78574                            149
091                  VXR-68924                            145
092                  LNC-68448                             44
093                  ZPF-96697                             92
094                  LWR-78574                            164
095                  KWH-94256                            184
096                  CDC-36833                            116
097                  GBK-45859                            109
098                  KDV-97563                             65
099                  XJQ-35789                            122
100                  XRT-73276                             38
