User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PWT-38779                             10
002                  GZN-34688                            108
003                  WBB-69295                            111
004                  YBD-67688                             96
005                  YMA-56284                             29
006                  PZV-75529                             44
007                  SZA-87265                            188
008                  GBK-45859                            183
009                  URL-32968                             19
010                  GBK-45859                             93
011                  KLA-57296                             24
012                  EPX-87469                            147
013                  LZL-53762                            146
014                  XKG-42573                            176
015                  TNG-52497                             15
016                  HKZ-33728                            125
017                  RGZ-73449                            169
018                  GUJ-74444                            144
019                  KMP-52243                            130
020                  LWR-78574                             41
021                  CPU-63784                            167
022                  JYL-79355                             40
023                  PWT-38779                             31
024                  HVE-32966                            171
025                  JVL-65247                             83
026                  JYL-79355                            192
027                  WQB-83823                              3
028                  ANR-65636                            160
029                  QBD-79865                            196
030                  ZXB-54692                             20
031                  GUJ-74444                             89
032                  BMN-57337                             86
033                  BMN-57337                            109
034                  NVE-67597                            131
035                  TQC-49936                            102
036                  GMS-89977                            157
037                  JVL-65247                             81
038                  TLT-23593                            149
039                  GMS-89977                            163
040                  LNC-68448                            162
041                  HCY-32686                             87
042                  HZF-45469                             51
043                  FYK-67999                             18
044                  AJA-56777                              9
045                  FYK-67999                             11
046                  QBZ-39849                            120
047                  ZHA-83572                            189
048                  HZF-45469                             64
049                  KWH-94256                            198
050                  WBB-69295                            165
051                  AJA-56777                             97
052                  TLT-23593                            136
053                  YLW-92835                            175
054                  GBK-45859                              5
055                  BTN-83953                            142
056                  NHP-43928                            141
057                  LNC-68448                            126
058                  BCU-27839                             66
059                  AJA-56777                            134
060                  TNG-52497                            148
061                  ZXB-54692                             34
062                  EFG-46945                            191
063                  NVE-67597                            132
064                  DHY-22445                             78
065                  YXL-38878                             16
066                  GUJ-74444                            199
067                  WQM-46249                            110
068                  SPN-64546                            123
069                  JVL-65247                             30
070                  ZHA-83572                             73
071                  FNL-93857                            172
072                  SZA-87265                             74
073                  JVL-65247                            197
074                  CPU-63784                             91
075                  HZF-45469                             82
076                  YLW-92835                             48
077                  PWT-38779                            155
078                  DAU-26394                            113
079                  VJN-37687                            181
080                  FNL-93857                             43
081                  TNG-52497                             47
082                  WBB-69295                            180
083                  NVE-67597                              1
084                  HCY-32686                            117
085                  FNL-93857                             39
086                  QBZ-39849                            124
087                  TNA-63396                             36
088                  JVL-65247                            190
089                  URL-32968                            103
090                  FNR-28782                             56
091                  NVE-67597                             42
092                  BMN-57337                             57
093                  KQA-89952                            112
094                  FNR-28782                             67
095                  JYL-79355                            177
096                  DHY-22445                            159
097                  KMP-52243                             27
098                  VXR-68924                            178
099                  PWT-38779                             35
100                  KLA-57296                              6
