User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SZA-87265                              3
002                  GZN-34688                            199
003                  AAV-93236                             43
004                  NHP-43928                            177
005                  KQA-89952                            110
006                  DAU-26394                            132
007                  KQA-89952                             80
008                  TNA-63396                             89
009                  PNF-53949                             76
010                  DAU-26394                              5
011                  VWM-74278                            142
012                  ZKV-31415                              6
013                  CQS-93978                             16
014                  GZN-34688                             26
015                  PHE-99329                             36
016                  AJA-56777                            190
017                  GBK-45859                             23
018                  BCU-27839                            152
019                  TNX-51117                             63
020                  DHY-22445                            184
021                  RLT-57887                             41
022                  YBD-67688                             88
023                  LNC-68448                            108
024                  HZF-45469                            185
025                  RGZ-73449                             28
026                  NVE-67597                            131
027                  NHP-43928                            155
028                  XKG-42573                             56
029                  PWT-38779                             99
030                  YXL-38878                            134
031                  AAV-93236                             13
032                  AAV-93236                            121
033                  WMD-65834                             45
034                  PZV-75529                             27
035                  KDV-97563                            144
036                  KQA-89952                            160
037                  RGZ-73449                             73
038                  FYK-67999                            183
039                  HZF-45469                            156
040                  AJA-56777                             64
041                  NMA-58554                             11
042                  QBD-79865                            139
043                  URL-32968                            162
044                  QBD-79865                            176
045                  BMN-57337                             52
046                  HCY-32686                            136
047                  GUJ-74444                             48
048                  XJQ-35789                            106
049                  FYK-67999                             81
050                  JVL-65247                            149
051                  PHE-99329                             85
052                  YMA-56284                            129
053                  TNA-63396                             44
054                  LZL-53762                            101
055                  YLW-92835                            127
056                  TLT-23593                            198
057                  XBC-95594                            167
058                  NWL-28282                             19
059                  HVE-32966                             51
060                  HZF-45469                             24
061                  SZA-87265                            179
062                  AAV-93236                            145
063                  VXR-68924                             62
064                  AJA-56777                            171
065                  WQM-46249                            135
066                  KLA-57296                             72
067                  SZA-87265                             84
068                  PHE-99329                            173
069                  KLA-57296                             30
070                  EFG-46945                             21
071                  LNC-68448                             57
072                  NVE-67597                            133
073                  FNL-93857                              2
074                  CDC-36833                            194
075                  NXD-76943                            154
076                  EFG-46945                            186
077                  WQM-46249                            118
078                  YXL-38878                             29
079                  FTD-84699                             58
080                  WQM-46249                            164
081                  TNX-51117                             91
082                  KQA-89952                             55
083                  LNC-68448                             68
084                  WQB-83823                            126
085                  BTG-65524                            175
086                  TRM-27792                            113
087                  HNB-76282                             98
088                  FNL-93857                             65
089                  ZXB-54692                            112
090                  DAU-26394                            182
091                  RLT-57887                             95
092                  YBD-67688                             17
093                  KLA-57296                             60
094                  LWR-78574                            107
095                  HNB-76282                            122
096                  NMA-58554                            180
097                  JVL-65247                              1
098                  NHP-43928                            189
099                  EFG-46945                            172
100                  NMA-58554                              8
