User ID: 57925-31071

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNX-51117                            170
002                  ZKV-31415                             89
003                  TNG-52497                            132
004                  ZPF-96697                            106
005                  TLT-23593                            123
006                  WMD-65834                            135
007                  HVE-32966                             76
008                  TNA-63396                            152
009                  YXL-38878                             21
010                  QBD-79865                             38
011                  EFG-46945                            145
012                  ZHA-83572                            101
013                  XJQ-35789                             95
014                  TRM-27792                            117
015                  RLT-57887                            141
016                  BTN-83953                             77
017                  ZKV-31415                            107
018                  BCU-27839                             99
019                  DHY-22445                             87
020                  HVX-35287                            138
021                  CPU-63784                            129
022                  WMD-65834                            104
023                  YMA-56284                             32
024                  PWT-38779                             70
025                  NHP-43928                             75
026                  HVE-32966                            112
027                  PZV-75529                            151
028                  NXD-76943                            179
029                  ZPF-96697                            142
030                  WQM-46249                            150
031                  QBZ-39849                            184
032                  PQJ-67335                             22
033                  JVL-65247                             40
034                  NXD-76943                             81
035                  KQA-89952                             56
036                  KQA-89952                            160
037                  VWM-74278                            134
038                  QBD-79865                            187
039                  TXF-47848                             85
040                  GZN-34688                            191
041                  TXF-47848                            128
042                  RLT-57887                             90
043                  TNX-51117                             29
044                  GBK-45859                             64
045                  ZKV-31415                            122
046                  FNR-28782                            133
047                  BTN-83953                              4
048                  WQM-46249                              9
049                  YBD-67688                            182
050                  KMP-52243                            159
051                  LNC-68448                             50
052                  CDC-36833                             98
053                  EFG-46945                             55
054                  HVX-35287                            173
055                  WBB-69295                             36
056                  CDC-36833                            131
057                  HKZ-33728                             93
058                  YLW-92835                            102
059                  GZN-34688                            146
060                  RGZ-73449                             62
061                  WQB-83823                              1
062                  HVX-35287                            155
063                  KWH-94256                             42
064                  ZKV-31415                             46
065                  DHY-22445                              2
066                  KQA-89952                            176
067                  DAU-26394                            181
068                  GBK-45859                             15
069                  PHE-99329                             18
070                  HVX-35287                             82
071                  HCY-32686                            157
072                  ZKV-31415                            158
073                  ZKV-31415                             31
074                  TNG-52497                             86
075                  XBC-95594                             44
076                  LWR-78574                             91
077                  HZF-45469                            161
078                  XJQ-35789                             69
079                  GMS-89977                              7
080                  ZHA-83572                             41
081                  HCY-32686                             83
082                  BTN-83953                            162
083                  AAV-93236                            195
084                  DHY-22445                             79
085                  LZL-53762                             58
086                  QBZ-39849                            172
087                  WMD-65834                             54
088                  PNF-53949                             37
089                  SPN-64546                             14
090                  BTN-83953                            185
091                  YMA-56284                             17
092                  PWT-38779                            119
093                  VXR-68924                              3
094                  PQJ-67335                            154
095                  TNA-63396                            198
096                  ANR-65636                            130
097                  HCY-32686                            109
098                  KDV-97563                            139
099                  WMD-65834                             67
100                  WBB-69295                            103
