User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PQJ-67335                             88
002                  TQC-49936                              8
003                  QBZ-39849                             91
004                  FYK-67999                            187
005                  ZKV-31415                             99
006                  TXF-47848                            136
007                  ZPF-96697                             26
008                  EFG-46945                            133
009                  YLW-92835                             71
010                  ZPF-96697                            150
011                  XRT-73276                             90
012                  HKZ-33728                            141
013                  YXL-38878                            169
014                  XKG-42573                             34
015                  TQC-49936                             53
016                  TRM-27792                             98
017                  TRM-27792                             36
018                  QBZ-39849                            186
019                  NMA-58554                             64
020                  JYL-79355                            113
021                  JVL-65247                             87
022                  BTN-83953                            189
023                  FYK-67999                            153
024                  HCY-32686                              5
025                  DHY-22445                            114
026                  SPN-64546                            163
027                  LZL-53762                             61
028                  KLA-57296                            126
029                  EPX-87469                            109
030                  YXL-38878                            191
031                  FYK-67999                            183
032                  VJN-37687                            147
033                  KDV-97563                            112
034                  TXF-47848                             44
035                  FTD-84699                             14
036                  TLT-23593                            127
037                  LWR-78574                            139
038                  NHP-43928                            101
039                  SPN-64546                             94
040                  KLA-57296                             70
041                  NVE-67597                             46
042                  HVE-32966                            180
043                  ZHA-83572                             19
044                  ZKV-31415                            143
045                  YLW-92835                             30
046                  PZV-75529                            185
047                  WMD-65834                            122
048                  QBD-79865                            102
049                  EFG-46945                             12
050                  RLT-57887                            148
051                  NXD-76943                             25
052                  TLT-23593                             32
053                  YMA-56284                             83
054                  KDV-97563                            174
055                  PNF-53949                            129
056                  EPX-87469                            167
057                  FNL-93857                             17
058                  HCY-32686                             11
059                  WBB-69295                            123
060                  NVE-67597                            155
061                  URL-32968                              1
062                  WQB-83823                             72
063                  LWR-78574                             59
064                  CDC-36833                            119
065                  YXL-38878                            172
066                  RGZ-73449                             63
067                  EFG-46945                             84
068                  GUJ-74444                             29
069                  VJN-37687                            145
070                  CQS-93978                            117
071                  DHY-22445                            160
072                  ZXB-54692                             75
073                  FYK-67999                            162
074                  VJN-37687                             38
075                  LWR-78574                             27
076                  TQC-49936                              4
077                  YMA-56284                             62
078                  HZF-45469                            194
079                  AAV-93236                            190
080                  NXD-76943                            200
081                  PHE-99329                            171
082                  DHY-22445                            103
083                  FNR-28782                            132
084                  HNB-76282                            197
085                  PWT-38779                            176
086                  WMD-65834                             78
087                  WQB-83823                            157
088                  GBK-45859                            181
089                  KDV-97563                            104
090                  WQM-46249                             69
091                  XJQ-35789                            134
092                  FYK-67999                             58
093                  LNC-68448                             73
094                  GZN-34688                            196
095                  KLA-57296                             40
096                  PZV-75529                             21
097                  XBC-95594                             41
098                  KLA-57296                            161
099                  YBD-67688                             22
100                  BCU-27839                             20
