User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                            144
002                  TNA-63396                            118
003                  FNL-93857                            168
004                  PZV-75529                            173
005                  DAU-26394                             63
006                  KMP-52243                            112
007                  TNA-63396                            188
008                  HVX-35287                             18
009                  WQM-46249                            175
010                  GZN-34688                            187
011                  PZV-75529                             68
012                  GBK-45859                            160
013                  JPJ-26459                            105
014                  TRM-27792                             47
015                  CDC-36833                             15
016                  CPU-63784                            198
017                  ANR-65636                            174
018                  NXD-76943                             91
019                  RGZ-73449                            162
020                  ZXB-54692                              6
021                  CCG-95482                            191
022                  JPJ-26459                             19
023                  ZPF-96697                            106
024                  CPU-63784                             65
025                  ZHA-83572                            139
026                  QBZ-39849                              1
027                  HZF-45469                             28
028                  AJA-56777                            136
029                  ZHA-83572                              5
030                  LZL-53762                            104
031                  KWH-94256                             82
032                  HVX-35287                            170
033                  JVL-65247                             92
034                  NVE-67597                            115
035                  XKG-42573                            159
036                  WMD-65834                            152
037                  HVE-32966                             12
038                  HCY-32686                            140
039                  TNG-52497                             37
040                  YXL-38878                             30
041                  EPX-87469                             17
042                  TLT-23593                            131
043                  TLT-23593                             35
044                  CQS-93978                            158
045                  ZHA-83572                            190
046                  SZA-87265                            128
047                  FTD-84699                             85
048                  URL-32968                            165
049                  LZL-53762                             98
050                  LZL-53762                            166
051                  QBZ-39849                             41
052                  TXF-47848                             96
053                  BMN-57337                            129
054                  LZL-53762                            130
055                  AAV-93236                              8
056                  FNL-93857                            177
057                  XKG-42573                             45
058                  AJA-56777                             64
059                  CQS-93978                             33
060                  QBZ-39849                             26
061                  PZV-75529                             66
062                  DAU-26394                             34
063                  GMS-89977                             78
064                  BTN-83953                            135
065                  PZV-75529                             44
066                  PWT-38779                             61
067                  JYL-79355                            111
068                  YMA-56284                             22
069                  CCG-95482                             90
070                  VJN-37687                            179
071                  EPX-87469                            124
072                  YXL-38878                             48
073                  CPU-63784                             58
074                  AAV-93236                            145
075                  TNX-51117                            134
076                  WQM-46249                             74
077                  TNX-51117                            154
078                  DHY-22445                            137
079                  VJN-37687                            172
080                  XJQ-35789                              9
081                  DHY-22445                             88
082                  VXR-68924                             54
083                  FNR-28782                             42
084                  HVE-32966                            178
085                  AAV-93236                            157
086                  RGZ-73449                            192
087                  HVX-35287                             36
088                  JVL-65247                             80
089                  PZV-75529                             71
090                  NXD-76943                             11
091                  HNB-76282                             23
092                  KQA-89952                            101
093                  YXL-38878                             16
094                  HKZ-33728                              3
095                  NWL-28282                             56
096                  DHY-22445                            110
097                  GUJ-74444                            199
098                  ZKV-31415                             24
099                  GBK-45859                            156
100                  QBD-79865                             81
