User ID: 52930-30854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNR-28782                             24
002                  LNC-68448                             13
003                  AJA-56777                            118
004                  HNB-76282                              9
005                  LWR-78574                             16
006                  BTN-83953                             44
007                  YMA-56284                            174
008                  NMA-58554                             52
009                  HNB-76282                            114
010                  WBB-69295                             36
011                  PZV-75529                            116
012                  VJN-37687                              1
013                  EPX-87469                            192
014                  EFG-46945                             31
015                  NMA-58554                            170
016                  VJN-37687                             66
017                  JYL-79355                             43
018                  QBZ-39849                            181
019                  TNX-51117                            134
020                  NMA-58554                             18
021                  FNL-93857                             14
022                  EPX-87469                              2
023                  URL-32968                            107
024                  VXR-68924                             42
025                  XJQ-35789                             62
026                  HZF-45469                              5
027                  LZL-53762                             58
028                  TLT-23593                             68
029                  JYL-79355                            123
030                  PWT-38779                            185
031                  BTG-65524                            164
032                  VWM-74278                             30
033                  YXL-38878                            106
034                  FTD-84699                             71
035                  TXF-47848                            172
036                  CPU-63784                             17
037                  GZN-34688                            100
038                  RLT-57887                            142
039                  GBK-45859                             51
040                  XKG-42573                             38
041                  HNB-76282                            163
042                  CCG-95482                             10
043                  HZF-45469                            187
044                  VXR-68924                            180
045                  FNL-93857                            140
046                  HZF-45469                            157
047                  FYK-67999                            102
048                  KQA-89952                            169
049                  DHY-22445                            162
050                  BTN-83953                             77
051                  GBK-45859                            108
052                  XKG-42573                            111
053                  HVX-35287                            103
054                  GZN-34688                            161
055                  CCG-95482                            197
056                  PZV-75529                              8
057                  KQA-89952                             84
058                  NVE-67597                             11
059                  XKG-42573                            177
060                  GZN-34688                            128
061                  LWR-78574                             19
062                  ZXB-54692                             70
063                  KWH-94256                             86
064                  TNA-63396                              7
065                  HNB-76282                             20
066                  NMA-58554                            104
067                  BMN-57337                            125
068                  CQS-93978                            184
069                  GMS-89977                             98
070                  TQC-49936                              6
071                  JVL-65247                             12
072                  ZXB-54692                            105
073                  SPN-64546                             48
074                  KDV-97563                             47
075                  TRM-27792                             26
076                  ZHA-83572                             34
077                  KLA-57296                            115
078                  TXF-47848                            154
079                  TXF-47848                            160
080                  EFG-46945                            126
081                  SZA-87265                            112
082                  ZPF-96697                              4
083                  JVL-65247                             83
084                  FNL-93857                             50
085                  NHP-43928                             93
086                  VXR-68924                            133
087                  CPU-63784                             64
088                  GUJ-74444                            155
089                  PWT-38779                            173
090                  FNL-93857                             88
091                  CDC-36833                             89
092                  GBK-45859                             28
093                  YMA-56284                             39
094                  SZA-87265                            119
095                  LNC-68448                              3
096                  LWR-78574                             46
097                  EFG-46945                            109
098                  BTG-65524                             57
099                  LWR-78574                            156
100                  EFG-46945                            179
