User ID: 65101-47245

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                             32
002                  KMP-52243                            117
003                  JYL-79355                            179
004                  HCY-32686                             36
005                  SPN-64546                             69
006                  PNF-53949                             26
007                  PWT-38779                             15
008                  CPU-63784                            133
009                  HVX-35287                            119
010                  JYL-79355                             25
011                  PNF-53949                             83
012                  CCG-95482                            136
013                  NHP-43928                            186
014                  RLT-57887                            113
015                  JYL-79355                            106
016                  NMA-58554                             77
017                  QBZ-39849                              4
018                  LNC-68448                              7
019                  ZKV-31415                            114
020                  FNR-28782                             43
021                  GBK-45859                             89
022                  LZL-53762                            150
023                  PNF-53949                             19
024                  EFG-46945                            151
025                  XBC-95594                             12
026                  FTD-84699                             94
027                  JVL-65247                            175
028                  VJN-37687                            124
029                  EPX-87469                            139
030                  XBC-95594                            174
031                  JPJ-26459                            195
032                  PHE-99329                             87
033                  EFG-46945                            103
034                  WMD-65834                            110
035                  WMD-65834                             84
036                  RLT-57887                             79
037                  JYL-79355                            109
038                  WMD-65834                             29
039                  CCG-95482                            122
040                  HNB-76282                            154
041                  WQB-83823                              2
042                  YLW-92835                             33
043                  QBZ-39849                             98
044                  FTD-84699                            141
045                  XKG-42573                             76
046                  NXD-76943                             74
047                  KWH-94256                            131
048                  PHE-99329                              9
049                  XJQ-35789                            112
050                  CPU-63784                            121
051                  KQA-89952                            128
052                  ZHA-83572                             96
053                  TRM-27792                            161
054                  CPU-63784                             91
055                  RGZ-73449                             81
056                  DAU-26394                             71
057                  TRM-27792                            102
058                  PZV-75529                            158
059                  WMD-65834                            183
060                  WBB-69295                            138
061                  HNB-76282                             39
062                  NXD-76943                            173
063                  RGZ-73449                            156
064                  FTD-84699                             24
065                  GUJ-74444                             17
066                  VWM-74278                            197
067                  HCY-32686                            120
068                  JPJ-26459                            185
069                  WQM-46249                             22
070                  NXD-76943                             65
071                  WQM-46249                             61
072                  DHY-22445                             92
073                  XRT-73276                             40
074                  XKG-42573                             95
075                  CDC-36833                             38
076                  CQS-93978                            126
077                  AJA-56777                            137
078                  EPX-87469                            115
079                  BCU-27839                             85
080                  VXR-68924                              5
081                  WMD-65834                            145
082                  BCU-27839                            144
083                  WMD-65834                             31
084                  FTD-84699                            153
085                  AJA-56777                            159
086                  RLT-57887                            160
087                  GMS-89977                             48
088                  JYL-79355                            164
089                  YMA-56284                             88
090                  PQJ-67335                            152
091                  GBK-45859                              8
092                  DHY-22445                            168
093                  GMS-89977                            181
094                  KWH-94256                             30
095                  JVL-65247                            127
096                  BCU-27839                            162
097                  ANR-65636                            134
098                  GMS-89977                             45
099                  AJA-56777                            166
100                  PZV-75529                             53
