User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNG-52497                             91
002                  XBC-95594                             11
003                  LZL-53762                            113
004                  EFG-46945                            156
005                  PZV-75529                            133
006                  HKZ-33728                            163
007                  LWR-78574                             62
008                  JPJ-26459                              7
009                  EPX-87469                            138
010                  VWM-74278                            179
011                  URL-32968                             76
012                  ZPF-96697                             13
013                  ZPF-96697                             68
014                  CPU-63784                             20
015                  JVL-65247                             67
016                  QBZ-39849                              1
017                  HZF-45469                              4
018                  NWL-28282                             70
019                  YXL-38878                            196
020                  TLT-23593                            152
021                  GZN-34688                            147
022                  NHP-43928                            115
023                  ZPF-96697                            104
024                  FYK-67999                            132
025                  HCY-32686                             90
026                  TNX-51117                             97
027                  FNR-28782                            109
028                  PHE-99329                            197
029                  QBD-79865                            161
030                  NXD-76943                             25
031                  GZN-34688                            114
032                  WBB-69295                              5
033                  ZPF-96697                            183
034                  TLT-23593                            111
035                  XJQ-35789                             38
036                  XKG-42573                             26
037                  GZN-34688                            157
038                  LNC-68448                            170
039                  FYK-67999                            194
040                  NVE-67597                             71
041                  KLA-57296                             33
042                  GBK-45859                            199
043                  HKZ-33728                            123
044                  CQS-93978                            120
045                  FNL-93857                            178
046                  URL-32968                             12
047                  XRT-73276                            182
048                  SZA-87265                            124
049                  CDC-36833                            175
050                  HVX-35287                            103
051                  LZL-53762                             95
052                  WBB-69295                             59
053                  HNB-76282                            190
054                  NXD-76943                             53
055                  BTG-65524                             22
056                  EPX-87469                             18
057                  KQA-89952                            137
058                  NWL-28282                             28
059                  ZKV-31415                            184
060                  WBB-69295                            112
061                  ANR-65636                              8
062                  PHE-99329                            195
063                  DAU-26394                            119
064                  BMN-57337                            118
065                  CCG-95482                            160
066                  RLT-57887                            171
067                  FTD-84699                            127
068                  HZF-45469                            189
069                  VXR-68924                             30
070                  KLA-57296                            142
071                  PZV-75529                             21
072                  LWR-78574                            154
073                  EPX-87469                            146
074                  BMN-57337                            158
075                  TLT-23593                             72
076                  TLT-23593                             10
077                  SZA-87265                             75
078                  NWL-28282                            181
079                  JYL-79355                            165
080                  TNA-63396                            172
081                  LZL-53762                             96
082                  HNB-76282                             23
083                  TXF-47848                            101
084                  WMD-65834                             92
085                  WBB-69295                             19
086                  KLA-57296                            174
087                  JYL-79355                             93
088                  PWT-38779                            198
089                  CPU-63784                            188
090                  VWM-74278                             86
091                  GBK-45859                             48
092                  KMP-52243                             78
093                  KDV-97563                            122
094                  KQA-89952                            169
095                  XJQ-35789                              9
096                  LNC-68448                             57
097                  EPX-87469                             83
098                  YBD-67688                             85
099                  LZL-53762                             60
100                  ZXB-54692                             16
