User ID: 63017-50438

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BCU-27839                             22
002                  FYK-67999                              6
003                  ZHA-83572                            107
004                  BTG-65524                            163
005                  KWH-94256                             12
006                  QBD-79865                             42
007                  VJN-37687                            144
008                  HVE-32966                            106
009                  HKZ-33728                            135
010                  HKZ-33728                            125
011                  HKZ-33728                            189
012                  EFG-46945                             95
013                  WBB-69295                            184
014                  DHY-22445                             67
015                  WQM-46249                             76
016                  LZL-53762                             80
017                  TLT-23593                             71
018                  HCY-32686                            113
019                  SPN-64546                            145
020                  FYK-67999                            166
021                  ZXB-54692                            175
022                  FYK-67999                            101
023                  URL-32968                             98
024                  ANR-65636                             17
025                  WQM-46249                             94
026                  YLW-92835                            178
027                  JYL-79355                             23
028                  TQC-49936                             57
029                  YMA-56284                            103
030                  ANR-65636                             27
031                  FTD-84699                             24
032                  DHY-22445                              1
033                  HNB-76282                            133
034                  YLW-92835                             70
035                  KMP-52243                             32
036                  KMP-52243                             74
037                  CQS-93978                            161
038                  TNX-51117                            192
039                  PNF-53949                             36
040                  FNR-28782                            188
041                  HVE-32966                             43
042                  HVX-35287                            148
043                  FTD-84699                             33
044                  YMA-56284                             96
045                  KQA-89952                            155
046                  PZV-75529                            111
047                  CDC-36833                            172
048                  BTN-83953                            132
049                  WMD-65834                             65
050                  GUJ-74444                             88
051                  BMN-57337                             85
052                  QBZ-39849                            165
053                  HNB-76282                             15
054                  BCU-27839                            118
055                  GUJ-74444                            196
056                  XKG-42573                             40
057                  TNA-63396                             28
058                  KQA-89952                             49
059                  TNX-51117                             41
060                  HCY-32686                            160
061                  SZA-87265                            153
062                  GZN-34688                             47
063                  NXD-76943                            193
064                  YLW-92835                            159
065                  DAU-26394                            168
066                  GUJ-74444                            164
067                  ZPF-96697                            174
068                  PQJ-67335                             90
069                  FNL-93857                            108
070                  ZKV-31415                             19
071                  YMA-56284                            154
072                  URL-32968                            167
073                  FYK-67999                            182
074                  KMP-52243                             79
075                  CQS-93978                             11
076                  ZPF-96697                            134
077                  PNF-53949                            131
078                  GBK-45859                            121
079                  YXL-38878                            146
080                  YXL-38878                            176
081                  BTG-65524                            195
082                  TNX-51117                            158
083                  HKZ-33728                             58
084                  BCU-27839                            112
085                  XBC-95594                            115
086                  YXL-38878                            186
087                  WQM-46249                            170
088                  HVE-32966                            120
089                  HKZ-33728                             60
090                  NXD-76943                             69
091                  YBD-67688                            169
092                  GBK-45859                             91
093                  CQS-93978                            110
094                  ZHA-83572                            171
095                  NVE-67597                            124
096                  AJA-56777                            177
097                  XRT-73276                             93
098                  BTG-65524                            102
099                  VWM-74278                            200
100                  HZF-45469                            140
