User ID: 04025-42834

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                            178
002                  KMP-52243                            121
003                  KWH-94256                             21
004                  XKG-42573                            136
005                  ZKV-31415                            110
006                  TXF-47848                             92
007                  AAV-93236                             70
008                  CCG-95482                            102
009                  ZPF-96697                            101
010                  XJQ-35789                            150
011                  RLT-57887                            129
012                  KWH-94256                             94
013                  BTN-83953                             19
014                  ZPF-96697                            177
015                  TNX-51117                             53
016                  NVE-67597                             28
017                  SZA-87265                             85
018                  AJA-56777                            190
019                  PZV-75529                            108
020                  JYL-79355                            147
021                  NWL-28282                             78
022                  KWH-94256                             57
023                  LZL-53762                            155
024                  PQJ-67335                             87
025                  YBD-67688                            125
026                  HVX-35287                            161
027                  KLA-57296                            172
028                  KDV-97563                            141
029                  DAU-26394                            112
030                  TLT-23593                            131
031                  FYK-67999                             82
032                  BCU-27839                              1
033                  RLT-57887                             52
034                  HZF-45469                             39
035                  NXD-76943                            111
036                  TNA-63396                             80
037                  NXD-76943                            173
038                  NHP-43928                             73
039                  HVE-32966                             23
040                  XRT-73276                             33
041                  XKG-42573                            138
042                  QBZ-39849                             15
043                  KLA-57296                             79
044                  TNG-52497                            104
045                  PHE-99329                            107
046                  KLA-57296                            133
047                  KWH-94256                            174
048                  WQM-46249                             62
049                  TQC-49936                              3
050                  YMA-56284                            175
051                  WMD-65834                             24
052                  TLT-23593                             32
053                  GMS-89977                             75
054                  DHY-22445                             42
055                  BCU-27839                            192
056                  BCU-27839                             46
057                  KDV-97563                            166
058                  NXD-76943                              9
059                  KMP-52243                            191
060                  XJQ-35789                            169
061                  GMS-89977                             90
062                  YXL-38878                            153
063                  PWT-38779                            124
064                  CDC-36833                             49
065                  ZKV-31415                             40
066                  CDC-36833                             22
067                  LNC-68448                             59
068                  BCU-27839                            186
069                  DHY-22445                            185
070                  KWH-94256                            114
071                  YBD-67688                             91
072                  WBB-69295                             12
073                  NVE-67597                             95
074                  BTG-65524                            163
075                  CCG-95482                            123
076                  NHP-43928                             25
077                  WBB-69295                             43
078                  QBZ-39849                            180
079                  TLT-23593                             30
080                  NMA-58554                              2
081                  VJN-37687                            170
082                  RLT-57887                            118
083                  CDC-36833                            105
084                  BMN-57337                            176
085                  TXF-47848                            146
086                  HZF-45469                            128
087                  YXL-38878                            120
088                  DAU-26394                             60
089                  EFG-46945                            122
090                  RLT-57887                             48
091                  HCY-32686                            200
092                  WQB-83823                            198
093                  XKG-42573                             83
094                  PHE-99329                            171
095                  TXF-47848                            195
096                  KMP-52243                            142
097                  PZV-75529                            184
098                  PWT-38779                             99
099                  WQB-83823                            152
100                  PHE-99329                             50
