User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZPF-96697                             69
002                  RGZ-73449                            165
003                  DHY-22445                            186
004                  TRM-27792                            194
005                  VWM-74278                             57
006                  YBD-67688                             43
007                  XKG-42573                            197
008                  DAU-26394                            104
009                  EFG-46945                             34
010                  DHY-22445                            147
011                  RGZ-73449                            134
012                  NMA-58554                             47
013                  KQA-89952                             53
014                  CDC-36833                            192
015                  NMA-58554                            170
016                  TQC-49936                            149
017                  NWL-28282                              7
018                  GZN-34688                            175
019                  XKG-42573                             49
020                  AJA-56777                            196
021                  FTD-84699                            140
022                  NWL-28282                             90
023                  KMP-52243                            150
024                  BTG-65524                             22
025                  PHE-99329                            173
026                  NWL-28282                            179
027                  BTG-65524                            100
028                  KQA-89952                            193
029                  HZF-45469                            176
030                  AAV-93236                             13
031                  LZL-53762                            115
032                  TXF-47848                              8
033                  GUJ-74444                            178
034                  BTG-65524                            153
035                  GUJ-74444                             24
036                  TNG-52497                            154
037                  FTD-84699                             33
038                  WMD-65834                             68
039                  PNF-53949                            155
040                  YXL-38878                            171
041                  HVE-32966                            106
042                  ZHA-83572                             50
043                  AJA-56777                            123
044                  JPJ-26459                            183
045                  BMN-57337                              6
046                  BTG-65524                             76
047                  ZXB-54692                             19
048                  VJN-37687                            184
049                  XJQ-35789                            164
050                  RGZ-73449                            118
051                  FYK-67999                             78
052                  LZL-53762                            191
053                  WBB-69295                             89
054                  NMA-58554                             20
055                  YXL-38878                            137
056                  XKG-42573                            139
057                  XRT-73276                             28
058                  JVL-65247                             61
059                  EPX-87469                            116
060                  FYK-67999                            128
061                  TLT-23593                            185
062                  NMA-58554                             45
063                  PNF-53949                             97
064                  XBC-95594                            160
065                  GBK-45859                             85
066                  WQB-83823                             25
067                  GUJ-74444                             42
068                  DHY-22445                            110
069                  NXD-76943                             73
070                  XJQ-35789                            162
071                  CDC-36833                             35
072                  KLA-57296                             84
073                  BMN-57337                            103
074                  PHE-99329                            105
075                  WBB-69295                            199
076                  TNA-63396                            158
077                  BCU-27839                            112
078                  GZN-34688                            167
079                  DAU-26394                              5
080                  VJN-37687                             60
081                  TQC-49936                            156
082                  XRT-73276                             30
083                  JYL-79355                             46
084                  PQJ-67335                            189
085                  YXL-38878                            181
086                  TNA-63396                            169
087                  ZHA-83572                             81
088                  VWM-74278                            188
089                  JYL-79355                             27
090                  TNX-51117                            168
091                  NHP-43928                            200
092                  YXL-38878                            144
093                  KLA-57296                            177
094                  HVE-32966                            159
095                  KLA-57296                            166
096                  BMN-57337                             70
097                  WQB-83823                             15
098                  NVE-67597                             52
099                  QBZ-39849                             21
100                  CCG-95482                             31
