User ID: 15821-95120

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                            123
002                  CCG-95482                             69
003                  TNA-63396                            178
004                  PHE-99329                            191
005                  PNF-53949                             47
006                  AJA-56777                             73
007                  ZHA-83572                            135
008                  CQS-93978                            104
009                  AJA-56777                             79
010                  AJA-56777                             87
011                  GZN-34688                            103
012                  FNL-93857                             16
013                  PQJ-67335                             32
014                  FNR-28782                             25
015                  VXR-68924                            151
016                  YXL-38878                            185
017                  YMA-56284                            145
018                  XJQ-35789                            163
019                  YBD-67688                             66
020                  KQA-89952                             85
021                  KWH-94256                             64
022                  TXF-47848                             52
023                  WMD-65834                             82
024                  JPJ-26459                             83
025                  NVE-67597                             49
026                  JYL-79355                             80
027                  EFG-46945                             22
028                  TQC-49936                            193
029                  AJA-56777                            148
030                  WQB-83823                            112
031                  HVE-32966                             19
032                  NXD-76943                            184
033                  DAU-26394                             58
034                  HZF-45469                             98
035                  TNG-52497                            196
036                  PHE-99329                             89
037                  SZA-87265                            164
038                  FNL-93857                             70
039                  JYL-79355                            124
040                  GMS-89977                             51
041                  NVE-67597                             72
042                  ZKV-31415                             46
043                  ZPF-96697                            156
044                  ANR-65636                              8
045                  KMP-52243                            171
046                  SZA-87265                            179
047                  ANR-65636                            110
048                  WBB-69295                             53
049                  PWT-38779                             29
050                  ZPF-96697                            138
051                  PZV-75529                             76
052                  CCG-95482                            149
053                  WBB-69295                             60
054                  YXL-38878                            167
055                  QBD-79865                             75
056                  XJQ-35789                             91
057                  TNA-63396                            132
058                  CPU-63784                            133
059                  QBZ-39849                            174
060                  LZL-53762                             74
061                  KMP-52243                            168
062                  VJN-37687                             94
063                  NWL-28282                             38
064                  GBK-45859                            181
065                  KDV-97563                            117
066                  ZXB-54692                            173
067                  PWT-38779                            176
068                  LWR-78574                             77
069                  TLT-23593                            109
070                  YLW-92835                            183
071                  TXF-47848                             26
072                  NMA-58554                             18
073                  CPU-63784                             27
074                  KDV-97563                            195
075                  TLT-23593                             84
076                  RGZ-73449                             42
077                  KMP-52243                             59
078                  TXF-47848                             56
079                  PNF-53949                             15
080                  PHE-99329                            120
081                  YLW-92835                            106
082                  FNR-28782                             61
083                  XKG-42573                            134
084                  ZXB-54692                             36
085                  HVX-35287                             34
086                  WBB-69295                            128
087                  CQS-93978                            192
088                  QBZ-39849                             86
089                  QBZ-39849                             17
090                  HVX-35287                             37
091                  AAV-93236                            166
092                  HZF-45469                             44
093                  TRM-27792                            127
094                  KQA-89952                            154
095                  WQM-46249                            129
096                  NXD-76943                            100
097                  KMP-52243                            190
098                  ZKV-31415                            140
099                  HKZ-33728                            160
100                  NMA-58554                            136
