User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                            101
002                  FTD-84699                            150
003                  XBC-95594                             18
004                  JYL-79355                            112
005                  AJA-56777                            188
006                  HVE-32966                            111
007                  JPJ-26459                             87
008                  HZF-45469                            194
009                  NXD-76943                            159
010                  CDC-36833                            184
011                  SZA-87265                             94
012                  NVE-67597                             59
013                  BTG-65524                             21
014                  BCU-27839                             64
015                  NMA-58554                             69
016                  BTG-65524                            196
017                  DHY-22445                             63
018                  XRT-73276                            128
019                  SPN-64546                             36
020                  NHP-43928                             19
021                  NVE-67597                            158
022                  WMD-65834                             48
023                  PWT-38779                             22
024                  TNA-63396                            107
025                  YBD-67688                             56
026                  URL-32968                            179
027                  SZA-87265                             57
028                  KMP-52243                            147
029                  KDV-97563                            169
030                  PWT-38779                            104
031                  JVL-65247                            181
032                  GZN-34688                            110
033                  KWH-94256                            163
034                  CDC-36833                             79
035                  TQC-49936                              8
036                  WBB-69295                             34
037                  PQJ-67335                            135
038                  AJA-56777                            195
039                  TQC-49936                            137
040                  HNB-76282                             51
041                  HNB-76282                             11
042                  SPN-64546                             86
043                  LZL-53762                            132
044                  GZN-34688                            141
045                  XBC-95594                             80
046                  EFG-46945                            167
047                  WMD-65834                             53
048                  KQA-89952                             93
049                  LWR-78574                             60
050                  YXL-38878                            173
051                  NXD-76943                             98
052                  ZKV-31415                            117
053                  URL-32968                             31
054                  PWT-38779                             41
055                  GZN-34688                             83
056                  NHP-43928                            176
057                  TRM-27792                            126
058                  HZF-45469                             90
059                  NWL-28282                            144
060                  NXD-76943                            155
061                  RLT-57887                             38
062                  YBD-67688                            100
063                  XBC-95594                            122
064                  WBB-69295                             49
065                  TRM-27792                             47
066                  XKG-42573                            139
067                  TLT-23593                             42
068                  CCG-95482                             68
069                  WQB-83823                            152
070                  HVX-35287                            174
071                  HVX-35287                             44
072                  ZHA-83572                             50
073                  PQJ-67335                            161
074                  JPJ-26459                              9
075                  XBC-95594                            125
076                  HVX-35287                            162
077                  WQB-83823                             30
078                  AAV-93236                             88
079                  ZKV-31415                            123
080                  LNC-68448                            148
081                  KWH-94256                            145
082                  FNL-93857                             14
083                  TQC-49936                             55
084                  PNF-53949                             54
085                  VXR-68924                             25
086                  HKZ-33728                             24
087                  QBD-79865                             29
088                  TNG-52497                            198
089                  XBC-95594                             35
090                  BCU-27839                             92
091                  WQM-46249                            165
092                  BTN-83953                            102
093                  YMA-56284                            193
094                  XJQ-35789                            180
095                  AAV-93236                            200
096                  LZL-53762                            113
097                  TLT-23593                             66
098                  BCU-27839                            187
099                  FNL-93857                            151
100                  XBC-95594                              5
