User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GZN-34688                              7
002                  PNF-53949                            104
003                  ZHA-83572                            196
004                  HVX-35287                            131
005                  PWT-38779                            163
006                  GMS-89977                             88
007                  LZL-53762                            158
008                  JVL-65247                            112
009                  FNR-28782                             66
010                  KLA-57296                            135
011                  PNF-53949                             91
012                  BMN-57337                            127
013                  PWT-38779                            154
014                  RLT-57887                             53
015                  BMN-57337                             34
016                  TRM-27792                            134
017                  LNC-68448                            171
018                  TLT-23593                             86
019                  NMA-58554                            176
020                  NVE-67597                            113
021                  DHY-22445                             41
022                  BCU-27839                            121
023                  BCU-27839                            149
024                  FNR-28782                             84
025                  SZA-87265                            128
026                  TNG-52497                             64
027                  EFG-46945                            122
028                  FNL-93857                            150
029                  KQA-89952                             40
030                  PQJ-67335                            191
031                  LNC-68448                             95
032                  CDC-36833                            153
033                  WMD-65834                            159
034                  HVX-35287                             25
035                  KDV-97563                            169
036                  AJA-56777                             68
037                  XBC-95594                            155
038                  PQJ-67335                             28
039                  LZL-53762                             85
040                  TRM-27792                            117
041                  GBK-45859                             19
042                  CCG-95482                             45
043                  AAV-93236                            114
044                  FNR-28782                             49
045                  QBD-79865                            177
046                  NWL-28282                             47
047                  TNA-63396                            179
048                  RLT-57887                             75
049                  JVL-65247                             23
050                  NHP-43928                            148
051                  LNC-68448                            182
052                  ZKV-31415                             61
053                  KWH-94256                             18
054                  HVX-35287                            167
055                  QBD-79865                              4
056                  AAV-93236                            138
057                  NVE-67597                            106
058                  ANR-65636                             33
059                  CCG-95482                              6
060                  GMS-89977                            142
061                  XRT-73276                            186
062                  NHP-43928                            152
063                  PNF-53949                             80
064                  SPN-64546                            116
065                  ANR-65636                             13
066                  ANR-65636                            101
067                  QBZ-39849                              8
068                  GMS-89977                             90
069                  WMD-65834                             10
070                  TXF-47848                             37
071                  FYK-67999                            181
072                  PQJ-67335                            183
073                  HVE-32966                             26
074                  QBZ-39849                             94
075                  CPU-63784                             69
076                  ZXB-54692                            164
077                  HKZ-33728                             16
078                  BTG-65524                             99
079                  HVX-35287                             12
080                  JYL-79355                            185
081                  NMA-58554                             58
082                  PHE-99329                            118
083                  ZPF-96697                             31
084                  PQJ-67335                            198
085                  HKZ-33728                            151
086                  ZKV-31415                             38
087                  AJA-56777                             65
088                  CQS-93978                            105
089                  WQB-83823                             81
090                  BMN-57337                             57
091                  QBZ-39849                            111
092                  XKG-42573                              2
093                  BMN-57337                             62
094                  LWR-78574                            160
095                  PHE-99329                            195
096                  LWR-78574                             67
097                  TQC-49936                             87
098                  JVL-65247                            144
099                  PZV-75529                            115
100                  HZF-45469                             59
