User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TXF-47848                              3
002                  YLW-92835                            143
003                  PZV-75529                             83
004                  XJQ-35789                              9
005                  PWT-38779                            136
006                  XKG-42573                            176
007                  CCG-95482                             49
008                  LZL-53762                            192
009                  KMP-52243                            148
010                  NVE-67597                            170
011                  HNB-76282                             11
012                  KLA-57296                            107
013                  WMD-65834                             25
014                  GBK-45859                            105
015                  KQA-89952                             78
016                  CCG-95482                            152
017                  CPU-63784                             42
018                  PWT-38779                             34
019                  YBD-67688                             44
020                  VXR-68924                             71
021                  GBK-45859                             51
022                  RLT-57887                             14
023                  XKG-42573                            131
024                  LZL-53762                             58
025                  NHP-43928                             10
026                  WMD-65834                            175
027                  GBK-45859                             97
028                  HZF-45469                             95
029                  XJQ-35789                            159
030                  SPN-64546                              4
031                  GZN-34688                             33
032                  ANR-65636                             46
033                  NMA-58554                            188
034                  WMD-65834                             94
035                  VJN-37687                             26
036                  XJQ-35789                            134
037                  EPX-87469                             24
038                  SZA-87265                            119
039                  VJN-37687                             86
040                  XRT-73276                            142
041                  YMA-56284                             90
042                  TXF-47848                             66
043                  WQM-46249                            186
044                  KMP-52243                            168
045                  ZHA-83572                             12
046                  QBZ-39849                            174
047                  YMA-56284                             98
048                  TLT-23593                            149
049                  PNF-53949                            195
050                  HNB-76282                            164
051                  SPN-64546                             30
052                  NWL-28282                             48
053                  YXL-38878                             60
054                  PHE-99329                             69
055                  ZXB-54692                            101
056                  LWR-78574                            171
057                  XBC-95594                             50
058                  ANR-65636                            191
059                  TRM-27792                             47
060                  FNL-93857                             61
061                  WBB-69295                            158
062                  CQS-93978                            123
063                  LWR-78574                             64
064                  TRM-27792                             85
065                  TNX-51117                            139
066                  NMA-58554                             63
067                  XBC-95594                            200
068                  WBB-69295                            161
069                  ZXB-54692                            189
070                  WBB-69295                              5
071                  DHY-22445                             35
072                  HVX-35287                            146
073                  PNF-53949                            106
074                  BCU-27839                             31
075                  VWM-74278                              2
076                  SPN-64546                             93
077                  LZL-53762                            129
078                  WQB-83823                             59
079                  LWR-78574                            184
080                  WQM-46249                            112
081                  AAV-93236                            151
082                  QBD-79865                            127
083                  QBD-79865                              6
084                  CQS-93978                             21
085                  YBD-67688                             88
086                  XRT-73276                            113
087                  VXR-68924                            180
088                  PNF-53949                            108
089                  CQS-93978                             73
090                  CDC-36833                            190
091                  YXL-38878                             43
092                  LNC-68448                            183
093                  DHY-22445                             74
094                  QBD-79865                            100
095                  WMD-65834                            118
096                  HNB-76282                            114
097                  HZF-45469                             19
098                  ZHA-83572                             18
099                  NXD-76943                            104
100                  ANR-65636                            109
