User ID: 63581-09884

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SPN-64546                            107
002                  ZHA-83572                             46
003                  RLT-57887                              4
004                  TLT-23593                             23
005                  WBB-69295                            133
006                  CQS-93978                            199
007                  ZXB-54692                            147
008                  ZXB-54692                            145
009                  WMD-65834                              3
010                  AAV-93236                             36
011                  KQA-89952                            139
012                  TQC-49936                            120
013                  TNA-63396                             96
014                  CPU-63784                            171
015                  DAU-26394                            170
016                  CQS-93978                            127
017                  FTD-84699                              9
018                  NWL-28282                             98
019                  ZXB-54692                            180
020                  ZKV-31415                            169
021                  ZKV-31415                            115
022                  KMP-52243                             50
023                  BTN-83953                             80
024                  EPX-87469                             62
025                  XKG-42573                             61
026                  KDV-97563                            185
027                  NXD-76943                            130
028                  GZN-34688                            164
029                  SPN-64546                             29
030                  TXF-47848                            140
031                  QBZ-39849                             84
032                  EFG-46945                            138
033                  BMN-57337                            114
034                  YXL-38878                             34
035                  XKG-42573                             72
036                  YXL-38878                            134
037                  EFG-46945                            149
038                  SPN-64546                              1
039                  URL-32968                             30
040                  WBB-69295                            190
041                  GZN-34688                             83
042                  YMA-56284                            166
043                  DHY-22445                            159
044                  PHE-99329                            128
045                  HNB-76282                             79
046                  CQS-93978                            150
047                  ZXB-54692                            173
048                  JYL-79355                              8
049                  PQJ-67335                             67
050                  FTD-84699                             90
051                  JVL-65247                            160
052                  BMN-57337                             94
053                  TNX-51117                            189
054                  NHP-43928                             32
055                  WBB-69295                             52
056                  QBZ-39849                            179
057                  PQJ-67335                             70
058                  NHP-43928                            174
059                  HVE-32966                            144
060                  RGZ-73449                             95
061                  HVX-35287                             66
062                  KMP-52243                             59
063                  LWR-78574                             55
064                  QBD-79865                             20
065                  XRT-73276                             37
066                  GUJ-74444                            155
067                  FTD-84699                             35
068                  QBD-79865                             54
069                  NVE-67597                            152
070                  GBK-45859                            123
071                  KMP-52243                             77
072                  WQM-46249                            148
073                  PZV-75529                            121
074                  TXF-47848                            136
075                  SPN-64546                             58
076                  QBD-79865                            117
077                  TNG-52497                            143
078                  KQA-89952                            157
079                  LZL-53762                            156
080                  KDV-97563                             26
081                  HKZ-33728                             41
082                  WBB-69295                            168
083                  YBD-67688                              2
084                  GUJ-74444                            125
085                  LNC-68448                            198
086                  GZN-34688                             74
087                  URL-32968                            118
088                  SZA-87265                            100
089                  JPJ-26459                              5
090                  FYK-67999                            124
091                  WQB-83823                            175
092                  NVE-67597                             33
093                  URL-32968                             81
094                  NWL-28282                             19
095                  PNF-53949                             87
096                  TQC-49936                             76
097                  ZKV-31415                             13
098                  NXD-76943                             60
099                  WQM-46249                             42
100                  GBK-45859                            181
