User ID: 13579-76672

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            133
002                  NVE-67597                            166
003                  FTD-84699                            114
004                  VWM-74278                              3
005                  JVL-65247                            110
006                  WQB-83823                            125
007                  PZV-75529                             56
008                  TNX-51117                            112
009                  YLW-92835                            170
010                  XJQ-35789                             92
011                  DAU-26394                            132
012                  LZL-53762                             81
013                  EFG-46945                             26
014                  KQA-89952                            168
015                  KWH-94256                            191
016                  CCG-95482                            137
017                  XBC-95594                             73
018                  KMP-52243                            186
019                  KWH-94256                             75
020                  TNX-51117                             23
021                  VWM-74278                             70
022                  BTG-65524                            115
023                  HZF-45469                            160
024                  YLW-92835                             94
025                  NVE-67597                             55
026                  DHY-22445                             53
027                  AJA-56777                             59
028                  XJQ-35789                            107
029                  HZF-45469                            177
030                  QBD-79865                              8
031                  WBB-69295                            158
032                  XJQ-35789                            146
033                  CDC-36833                             25
034                  URL-32968                             14
035                  CDC-36833                            198
036                  CCG-95482                            148
037                  HNB-76282                            124
038                  PWT-38779                             38
039                  FYK-67999                             46
040                  LWR-78574                             85
041                  FNL-93857                            122
042                  HNB-76282                             52
043                  ZXB-54692                             35
044                  KMP-52243                            169
045                  ZPF-96697                            143
046                  CQS-93978                            183
047                  HVE-32966                             33
048                  WQB-83823                            185
049                  VWM-74278                             63
050                  BCU-27839                             22
051                  WBB-69295                             50
052                  JYL-79355                             21
053                  ZKV-31415                            144
054                  AJA-56777                            141
055                  FYK-67999                             45
056                  KDV-97563                            120
057                  PWT-38779                            157
058                  LWR-78574                             51
059                  XJQ-35789                             60
060                  DAU-26394                            171
061                  BTN-83953                            108
062                  PZV-75529                              2
063                  LZL-53762                            119
064                  LNC-68448                            126
065                  AJA-56777                            117
066                  NHP-43928                            163
067                  LZL-53762                            197
068                  YLW-92835                             12
069                  HKZ-33728                             68
070                  CCG-95482                            167
071                  DAU-26394                            161
072                  GMS-89977                            106
073                  URL-32968                             80
074                  GBK-45859                            194
075                  PHE-99329                            103
076                  BTG-65524                            159
077                  LZL-53762                            176
078                  AJA-56777                            195
079                  GUJ-74444                             86
080                  BTN-83953                            199
081                  WMD-65834                            190
082                  YLW-92835                            139
083                  URL-32968                             78
084                  HCY-32686                            152
085                  YBD-67688                            200
086                  KDV-97563                            149
087                  PZV-75529                            193
088                  JPJ-26459                            140
089                  XBC-95594                            128
090                  HCY-32686                            156
091                  BTN-83953                            187
092                  VJN-37687                              4
093                  JVL-65247                             74
094                  AAV-93236                             87
095                  FNR-28782                             76
096                  VXR-68924                              5
097                  LWR-78574                            189
098                  ZKV-31415                            162
099                  ANR-65636                            178
100                  QBD-79865                            184
