User ID: 64764-90662

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                            197
002                  RGZ-73449                            144
003                  HCY-32686                             26
004                  LNC-68448                            127
005                  CDC-36833                            183
006                  TQC-49936                            180
007                  EPX-87469                             21
008                  NMA-58554                            108
009                  PNF-53949                             52
010                  YBD-67688                             80
011                  EPX-87469                             51
012                  QBZ-39849                             92
013                  XJQ-35789                             14
014                  HVX-35287                             63
015                  AJA-56777                            143
016                  ANR-65636                            151
017                  NMA-58554                            147
018                  FNR-28782                             18
019                  DHY-22445                             17
020                  ZPF-96697                             44
021                  ZKV-31415                             34
022                  PZV-75529                            138
023                  PQJ-67335                             56
024                  KDV-97563                            160
025                  PNF-53949                            154
026                  NXD-76943                             66
027                  PNF-53949                             99
028                  BMN-57337                              7
029                  TLT-23593                            102
030                  PHE-99329                            146
031                  KLA-57296                             91
032                  TRM-27792                             10
033                  KLA-57296                            166
034                  URL-32968                             16
035                  RGZ-73449                            159
036                  TQC-49936                            111
037                  RGZ-73449                              4
038                  URL-32968                            165
039                  JVL-65247                              1
040                  TLT-23593                             27
041                  HVX-35287                             35
042                  TNX-51117                            155
043                  QBZ-39849                             77
044                  FYK-67999                             75
045                  BTN-83953                             23
046                  YMA-56284                            137
047                  YBD-67688                            174
048                  ZKV-31415                            129
049                  DAU-26394                            192
050                  ANR-65636                             38
051                  WQM-46249                            156
052                  YLW-92835                            124
053                  BCU-27839                             94
054                  GBK-45859                             58
055                  ZKV-31415                             22
056                  NXD-76943                            158
057                  GMS-89977                            105
058                  PZV-75529                             82
059                  GZN-34688                             12
060                  KMP-52243                             86
061                  SZA-87265                            120
062                  DAU-26394                            113
063                  VJN-37687                            176
064                  YXL-38878                             64
065                  PWT-38779                             71
066                  TNG-52497                            179
067                  KDV-97563                            189
068                  GBK-45859                             47
069                  TXF-47848                            114
070                  AAV-93236                            148
071                  HKZ-33728                             72
072                  FYK-67999                              9
073                  XRT-73276                             53
074                  WQB-83823                             81
075                  KMP-52243                             60
076                  TXF-47848                            145
077                  VWM-74278                             42
078                  CDC-36833                            188
079                  ZHA-83572                             20
080                  GMS-89977                             33
081                  HCY-32686                            106
082                  HVX-35287                              3
083                  HCY-32686                             49
084                  TNG-52497                            130
085                  PHE-99329                            117
086                  HKZ-33728                            193
087                  HCY-32686                             70
088                  YBD-67688                             84
089                  KQA-89952                            177
090                  VXR-68924                             32
091                  XKG-42573                            196
092                  ZPF-96697                             37
093                  PQJ-67335                             87
094                  JPJ-26459                            131
095                  KLA-57296                              2
096                  YLW-92835                            157
097                  TNX-51117                            126
098                  VJN-37687                             29
099                  PWT-38779                            110
100                  HNB-76282                             13
