User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                            106
002                  CDC-36833                              6
003                  HVE-32966                            113
004                  HVX-35287                             95
005                  TRM-27792                             92
006                  URL-32968                             30
007                  KWH-94256                            133
008                  YLW-92835                            126
009                  BMN-57337                            120
010                  DAU-26394                              3
011                  TNG-52497                            132
012                  LZL-53762                            159
013                  KMP-52243                             87
014                  QBD-79865                            164
015                  EFG-46945                            140
016                  FYK-67999                             75
017                  ZHA-83572                            158
018                  CDC-36833                            123
019                  LZL-53762                            184
020                  RLT-57887                             72
021                  EPX-87469                            185
022                  KLA-57296                            139
023                  KLA-57296                             22
024                  XBC-95594                             49
025                  GMS-89977                             47
026                  ANR-65636                             84
027                  JYL-79355                            198
028                  XKG-42573                            148
029                  BTG-65524                            112
030                  BMN-57337                             99
031                  FNR-28782                            109
032                  YBD-67688                            153
033                  BMN-57337                            169
034                  KQA-89952                             19
035                  VJN-37687                             45
036                  CDC-36833                             44
037                  WQB-83823                            174
038                  AAV-93236                             38
039                  QBD-79865                             41
040                  LZL-53762                             63
041                  TNA-63396                             58
042                  BCU-27839                            138
043                  QBD-79865                             48
044                  BTG-65524                            188
045                  LZL-53762                             33
046                  FTD-84699                             62
047                  NHP-43928                             15
048                  BTG-65524                             52
049                  XKG-42573                            101
050                  PZV-75529                            200
051                  CDC-36833                             97
052                  WQB-83823                             86
053                  KLA-57296                             80
054                  AAV-93236                             34
055                  VXR-68924                            178
056                  ZHA-83572                             43
057                  NVE-67597                            134
058                  XBC-95594                            177
059                  GBK-45859                              8
060                  RLT-57887                            176
061                  XKG-42573                            197
062                  GBK-45859                              1
063                  PQJ-67335                            194
064                  TNX-51117                            145
065                  URL-32968                            182
066                  BTG-65524                            157
067                  RLT-57887                            181
068                  NXD-76943                            119
069                  CQS-93978                             12
070                  URL-32968                             42
071                  XRT-73276                             90
072                  QBZ-39849                             21
073                  WQB-83823                            195
074                  EPX-87469                            125
075                  ZXB-54692                             39
076                  NMA-58554                            183
077                  FTD-84699                            170
078                  WBB-69295                             26
079                  KDV-97563                             28
080                  XJQ-35789                             68
081                  URL-32968                             91
082                  VWM-74278                             24
083                  BMN-57337                            131
084                  BCU-27839                            191
085                  GMS-89977                            172
086                  QBZ-39849                            149
087                  XJQ-35789                             29
088                  KLA-57296                            136
089                  RGZ-73449                            128
090                  CCG-95482                             66
091                  LNC-68448                            173
092                  FTD-84699                             37
093                  HVE-32966                            155
094                  BCU-27839                            121
095                  GBK-45859                             65
096                  EPX-87469                             88
097                  BTN-83953                             53
098                  QBD-79865                            118
099                  NWL-28282                            116
100                  CPU-63784                             77
