User ID: 59274-55268

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CDC-36833                             92
002                  GMS-89977                            124
003                  JVL-65247                             28
004                  PNF-53949                             73
005                  KDV-97563                             61
006                  HCY-32686                             34
007                  YXL-38878                            117
008                  FNL-93857                            153
009                  JPJ-26459                             64
010                  TNX-51117                            110
011                  AAV-93236                             56
012                  NMA-58554                            100
013                  TXF-47848                            188
014                  TNA-63396                            127
015                  HZF-45469                             45
016                  LZL-53762                             32
017                  CPU-63784                            132
018                  YBD-67688                             27
019                  XJQ-35789                             23
020                  ANR-65636                            178
021                  CCG-95482                             71
022                  NMA-58554                            186
023                  SZA-87265                             67
024                  AAV-93236                            198
025                  XBC-95594                             12
026                  YLW-92835                            143
027                  NHP-43928                             57
028                  PWT-38779                            113
029                  BTN-83953                            126
030                  HKZ-33728                             13
031                  CDC-36833                            104
032                  BMN-57337                            191
033                  RGZ-73449                            194
034                  YBD-67688                             38
035                  PQJ-67335                            158
036                  ZPF-96697                             10
037                  HKZ-33728                             60
038                  NXD-76943                             75
039                  VWM-74278                             26
040                  TNG-52497                             36
041                  HNB-76282                            171
042                  GBK-45859                            116
043                  VJN-37687                             33
044                  TLT-23593                             58
045                  TNA-63396                            109
046                  LZL-53762                            169
047                  PNF-53949                              2
048                  ANR-65636                            156
049                  CCG-95482                            114
050                  TLT-23593                             35
051                  HKZ-33728                            159
052                  HKZ-33728                            196
053                  JYL-79355                            195
054                  JPJ-26459                            150
055                  ZPF-96697                            131
056                  FNL-93857                             82
057                  QBD-79865                              5
058                  ANR-65636                            139
059                  NXD-76943                            123
060                  KQA-89952                            135
061                  KQA-89952                            190
062                  PZV-75529                            184
063                  TRM-27792                             39
064                  GBK-45859                            193
065                  NHP-43928                             46
066                  AAV-93236                            155
067                  NWL-28282                            121
068                  WMD-65834                             49
069                  CDC-36833                             25
070                  LWR-78574                             44
071                  QBD-79865                            160
072                  GUJ-74444                            163
073                  HZF-45469                             48
074                  PQJ-67335                             72
075                  HNB-76282                             86
076                  SPN-64546                             50
077                  KDV-97563                            164
078                  HVE-32966                             11
079                  QBZ-39849                            189
080                  RGZ-73449                             83
081                  FNR-28782                             18
082                  PNF-53949                             40
083                  JPJ-26459                             55
084                  SPN-64546                             78
085                  TQC-49936                             53
086                  CPU-63784                              4
087                  WQM-46249                            185
088                  JPJ-26459                            119
089                  JVL-65247                            170
090                  LNC-68448                             77
091                  RGZ-73449                             99
092                  GUJ-74444                             74
093                  PWT-38779                             96
094                  VWM-74278                            118
095                  PWT-38779                             88
096                  HVE-32966                             59
097                  WBB-69295                             65
098                  WMD-65834                             97
099                  WQB-83823                            134
100                  NXD-76943                            128
